num_transition,time_ms
10,0.58
16,0.84 
26,1.19 
43,1.78
71,4.17 
117,10.77
193,30.70
316,79.47
517,222.43
848,665.25
1389,1754.18
2275,4868.47 
3727,12676.38 
6105,34147.02
10000,90085.53
