file_name,mem_usage_mb,peak_mem_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
1599.pnml,106.20,18.77,12.60,14.18,16.97,18.77,17326.81
159.pnml,28.88,1.86,1.27,1.43,1.71,1.86,224.35
15.pnml,20.62,0.22,0.14,0.15,0.18,0.20,7.71
1600.pnml,106.26,18.78,12.61,14.19,16.98,18.78,17204.46
1601.pnml,106.20,18.79,12.62,14.20,16.99,18.79,17154.25
1602.pnml,106.35,18.80,12.63,14.20,17.00,18.80,17255.23
1603.pnml,106.39,18.81,12.63,14.21,17.01,18.81,17652.06
1604.pnml,106.43,18.82,12.64,14.22,17.02,18.82,17039.37
1605.pnml,106.29,18.83,12.65,14.23,17.03,18.83,17516.89
1606.pnml,106.44,18.84,12.66,14.24,17.04,18.84,17549.46
1607.pnml,106.54,18.85,12.66,14.25,17.05,18.85,17578.46
1608.pnml,106.74,18.86,12.67,14.26,17.06,18.86,17447.64
1609.pnml,106.66,18.87,12.68,14.26,17.07,18.87,17842.96
160.pnml,29.00,1.87,1.28,1.44,1.72,1.87,222.46
1610.pnml,106.61,18.88,12.69,14.27,17.08,18.88,17114.48
1611.pnml,106.88,18.90,12.70,14.28,17.09,18.90,17458.83
1612.pnml,106.85,18.91,12.70,14.29,17.10,18.91,17689.79
1613.pnml,106.95,18.92,12.71,14.30,17.11,18.92,17679.79
1614.pnml,107.00,18.93,12.72,14.31,17.12,18.93,17607.41
1615.pnml,107.04,18.94,12.73,14.31,17.13,18.94,17548.31
1616.pnml,107.11,18.95,12.73,14.32,17.14,18.95,17641.51
1617.pnml,107.14,18.96,12.74,14.33,17.16,18.96,17486.95
1618.pnml,107.09,18.97,12.75,14.34,17.17,18.97,18114.29
1619.pnml,107.22,18.98,12.76,14.35,17.18,18.98,17799.39
161.pnml,29.03,1.88,1.29,1.44,1.73,1.88,227.13
1620.pnml,107.18,18.99,12.76,14.36,17.19,18.99,17547.45
1621.pnml,107.26,19.00,12.77,14.37,17.20,19.00,17774.09
1622.pnml,107.45,19.01,12.78,14.37,17.21,19.01,17942.01
1623.pnml,107.48,19.02,12.79,14.38,17.22,19.02,17749.40
1624.pnml,107.52,19.04,12.79,14.39,17.23,19.04,18500.92
1625.pnml,107.61,19.05,12.80,14.40,17.24,19.05,17749.44
1626.pnml,107.66,19.06,12.81,14.41,17.25,19.06,18084.69
1627.pnml,107.70,19.07,12.82,14.42,17.26,19.07,18059.89
1628.pnml,107.65,19.08,12.82,14.42,17.27,19.08,17776.61
1629.pnml,107.67,19.09,12.83,14.43,17.28,19.09,18386.52
162.pnml,29.05,1.89,1.29,1.45,1.74,1.89,224.94
1630.pnml,107.70,19.10,12.84,14.44,17.29,19.10,17870.45
1631.pnml,107.88,19.11,12.85,14.45,17.30,19.11,17648.59
1632.pnml,107.73,19.12,12.86,14.46,17.31,19.12,18338.76
1633.pnml,107.81,19.13,12.86,14.47,17.32,19.13,18115.13
1634.pnml,107.93,19.14,12.87,14.48,17.33,19.14,17646.91
1635.pnml,108.16,19.15,12.88,14.48,17.34,19.15,18007.63
1636.pnml,108.10,19.16,12.89,14.49,17.35,19.16,18076.15
1637.pnml,108.03,19.17,12.89,14.50,17.36,19.17,17788.78
1638.pnml,108.24,19.19,12.90,14.51,17.37,19.19,18443.76
1639.pnml,108.14,19.20,12.91,14.52,17.38,19.20,18333.16
163.pnml,29.09,1.91,1.30,1.46,1.75,1.91,234.10
1640.pnml,108.17,19.21,12.92,14.53,17.39,19.21,17912.05
1641.pnml,108.35,19.22,12.92,14.54,17.40,19.22,18080.54
1642.pnml,108.46,19.23,12.93,14.54,17.41,19.23,18192.16
1643.pnml,108.48,19.24,12.94,14.55,17.42,19.24,18334.87
1644.pnml,108.52,19.25,12.95,14.56,17.43,19.25,17901.68
1645.pnml,108.51,19.26,12.95,14.57,17.44,19.26,18181.81
1646.pnml,108.57,19.27,12.96,14.58,17.45,19.27,18418.65
1647.pnml,108.85,19.28,12.97,14.59,17.46,19.28,18125.06
1648.pnml,108.86,19.29,12.98,14.59,17.47,19.29,18444.41
1649.pnml,108.91,19.30,12.99,14.60,17.48,19.30,23290.13
164.pnml,28.91,1.92,1.31,1.47,1.76,1.92,240.81
1650.pnml,108.89,19.31,12.99,14.61,17.50,19.31,19823.77
1651.pnml,109.02,19.33,13.00,14.62,17.51,19.33,18337.37
1652.pnml,109.00,19.34,13.01,14.63,17.52,19.34,18704.37
1653.pnml,109.01,19.35,13.02,14.64,17.53,19.35,18937.53
1654.pnml,109.11,19.36,13.02,14.65,17.54,19.36,18302.11
1655.pnml,109.16,19.37,13.03,14.65,17.55,19.37,18452.66
1656.pnml,109.18,19.38,13.04,14.66,17.56,19.38,18621.31
1657.pnml,109.24,19.39,13.05,14.67,17.57,19.39,18396.15
1658.pnml,109.33,19.40,13.05,14.68,17.58,19.40,18510.00
1659.pnml,109.14,19.41,13.06,14.69,17.59,19.41,18810.13
165.pnml,29.16,1.93,1.32,1.48,1.77,1.93,239.64
1660.pnml,109.48,19.42,13.07,14.70,17.60,19.42,18294.56
1661.pnml,109.36,19.43,13.08,14.70,17.61,19.43,19199.14
1662.pnml,109.51,19.44,13.08,14.71,17.62,19.44,18831.38
1663.pnml,109.62,19.45,13.09,14.72,17.63,19.45,18898.25
1664.pnml,109.57,19.47,13.10,14.73,17.64,19.47,19311.68
1665.pnml,109.66,19.48,13.11,14.74,17.65,19.48,18447.40
1666.pnml,109.73,19.49,13.12,14.75,17.66,19.49,18935.59
1667.pnml,109.84,19.50,13.12,14.76,17.67,19.50,18847.80
1668.pnml,109.88,19.51,13.13,14.76,17.68,19.51,19089.98
1669.pnml,109.91,19.52,13.14,14.77,17.69,19.52,20906.23
166.pnml,29.31,1.94,1.32,1.49,1.78,1.94,241.62
1670.pnml,109.75,19.53,13.15,14.78,17.70,19.53,18583.23
1671.pnml,109.88,19.54,13.15,14.79,17.71,19.54,18680.25
1672.pnml,110.09,19.55,13.16,14.80,17.72,19.55,18612.09
1673.pnml,110.06,19.56,13.17,14.81,17.73,19.56,18621.71
1674.pnml,110.27,19.57,13.18,14.82,17.74,19.57,19027.99
1675.pnml,110.22,19.58,13.18,14.82,17.75,19.58,19150.57
1676.pnml,110.36,19.59,13.19,14.83,17.76,19.59,18788.38
1677.pnml,110.37,19.60,13.20,14.84,17.77,19.60,18946.68
1678.pnml,110.31,19.62,13.21,14.85,17.78,19.62,19080.67
1679.pnml,110.40,19.63,13.21,14.86,17.79,19.63,19065.09
167.pnml,29.22,1.95,1.33,1.50,1.79,1.95,242.31
1680.pnml,110.54,19.64,13.22,14.87,17.80,19.64,19185.35
1681.pnml,110.55,19.65,13.23,14.87,17.81,19.65,18843.13
1682.pnml,110.58,19.66,13.24,14.88,17.82,19.66,19438.85
1683.pnml,110.70,19.67,13.24,14.89,17.84,19.67,19254.97
1684.pnml,110.74,19.68,13.25,14.90,17.85,19.68,19282.87
1685.pnml,110.75,19.69,13.26,14.91,17.86,19.69,18930.12
1686.pnml,110.73,19.70,13.27,14.92,17.87,19.70,19458.95
1687.pnml,110.96,19.71,13.28,14.93,17.88,19.71,18786.35
1688.pnml,110.89,19.72,13.28,14.93,17.89,19.72,19256.40
1689.pnml,110.98,19.73,13.29,14.94,17.90,19.73,18831.95
168.pnml,29.25,1.96,1.34,1.50,1.80,1.96,241.51
1690.pnml,111.13,19.74,13.30,14.95,17.91,19.74,20182.50
1691.pnml,110.95,19.76,13.31,14.96,17.92,19.76,20133.24
1692.pnml,111.20,19.77,13.31,14.97,17.93,19.77,19246.20
1693.pnml,111.20,19.78,13.32,14.98,17.94,19.78,19709.35
1694.pnml,111.29,19.79,13.33,14.98,17.95,19.79,19619.77
1695.pnml,111.35,19.80,13.34,14.99,17.96,19.80,19517.41
1696.pnml,111.39,19.81,13.34,15.00,17.97,19.81,19099.17
1697.pnml,111.41,19.82,13.35,15.01,17.98,19.82,19592.20
1698.pnml,111.25,19.83,13.36,15.02,17.99,19.83,20565.13
1699.pnml,111.52,19.84,13.37,15.03,18.00,19.84,19606.53
169.pnml,29.41,1.97,1.35,1.51,1.81,1.97,249.41
16.pnml,20.62,0.23,0.14,0.16,0.19,0.21,8.39
1700.pnml,111.66,19.85,13.37,15.04,18.01,19.85,19189.23
1701.pnml,111.51,19.86,13.38,15.04,18.02,19.86,19733.83
1702.pnml,111.58,19.87,13.39,15.05,18.03,19.87,19468.11
1703.pnml,111.75,19.88,13.40,15.06,18.04,19.88,19850.80
1704.pnml,111.76,19.89,13.41,15.07,18.05,19.89,19833.43
1705.pnml,111.90,19.91,13.41,15.08,18.06,19.91,19901.84
1706.pnml,111.94,19.92,13.42,15.09,18.07,19.92,19335.10
1707.pnml,111.89,19.93,13.43,15.10,18.08,19.93,19737.29
1708.pnml,111.97,19.94,13.44,15.10,18.09,19.94,19625.76
1709.pnml,112.09,19.95,13.44,15.11,18.10,19.95,19652.42
170.pnml,29.43,1.98,1.35,1.52,1.82,1.98,251.78
1710.pnml,112.33,20.01,13.49,15.18,18.16,20.01,19936.70
1711.pnml,112.32,20.02,13.50,15.19,18.17,20.02,19739.66
1712.pnml,112.36,20.04,13.50,15.20,18.18,20.04,19734.16
1713.pnml,112.62,20.05,13.51,15.21,18.19,20.05,19725.73
1714.pnml,112.54,20.06,13.52,15.22,18.20,20.06,20134.71
1715.pnml,112.67,20.07,13.53,15.23,18.21,20.07,19784.40
1716.pnml,112.55,20.08,13.53,15.24,18.22,20.08,19833.14
1717.pnml,112.57,20.09,13.54,15.24,18.23,20.09,19722.48
1718.pnml,112.69,20.11,13.55,15.25,18.24,20.11,20034.82
1719.pnml,112.86,20.12,13.56,15.26,18.25,20.12,19832.00
171.pnml,29.47,1.99,1.36,1.53,1.83,1.99,253.34
1720.pnml,112.79,20.13,13.56,15.27,18.26,20.13,19813.65
1721.pnml,112.84,20.14,13.57,15.28,18.27,20.14,19653.16
1722.pnml,112.96,20.15,13.58,15.29,18.29,20.15,20117.02
1723.pnml,112.93,20.16,13.59,15.29,18.30,20.16,20423.45
1724.pnml,112.91,20.17,13.60,15.30,18.31,20.17,19867.83
1725.pnml,113.04,20.18,13.60,15.31,18.32,20.18,19859.57
1726.pnml,113.25,20.19,13.61,15.32,18.33,20.19,20176.83
1727.pnml,113.21,20.20,13.62,15.33,18.34,20.20,20472.00
1728.pnml,113.23,20.21,13.63,15.34,18.35,20.21,21027.99
1729.pnml,113.13,20.22,13.63,15.35,18.36,20.22,20961.54
172.pnml,29.46,2.00,1.37,1.54,1.85,2.00,265.66
1730.pnml,113.29,20.23,13.64,15.35,18.37,20.23,20131.03
1731.pnml,113.36,20.25,13.65,15.36,18.38,20.25,20337.20
1732.pnml,113.29,20.26,13.66,15.37,18.39,20.26,20217.35
1733.pnml,113.30,20.27,13.66,15.38,18.40,20.27,20637.79
1734.pnml,113.57,20.28,13.67,15.39,18.41,20.28,20114.42
1735.pnml,113.62,20.29,13.68,15.40,18.42,20.29,20315.18
