file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
1124.pnml,87.51,16.45,8.50,464.96
1125.pnml,87.43,16.46,8.51,471.30
1126.pnml,87.59,16.47,8.52,504.32
1127.pnml,87.63,16.49,8.52,485.01
1128.pnml,87.67,16.50,8.53,479.57
1129.pnml,87.95,16.51,8.54,491.72
112.pnml,26.15,1.63,0.86,48.18
1130.pnml,87.76,16.53,8.54,460.76
1131.pnml,88.02,16.54,8.55,454.39
1132.pnml,87.93,16.55,8.56,464.08
1133.pnml,87.99,16.57,8.57,488.91
1134.pnml,87.95,16.58,8.57,465.01
1135.pnml,87.83,16.59,8.58,493.40
1136.pnml,88.21,16.61,8.59,476.60
1137.pnml,88.11,16.62,8.60,485.58
1138.pnml,88.28,16.63,8.60,467.44
1139.pnml,88.29,16.65,8.61,466.60
113.pnml,26.13,1.67,0.87,48.35
1140.pnml,88.33,16.66,8.62,447.91
1141.pnml,88.50,16.67,8.63,477.23
1142.pnml,88.54,16.69,8.63,485.18
1143.pnml,88.57,16.70,8.64,485.35
1144.pnml,88.46,16.71,8.65,488.65
1145.pnml,88.42,16.73,8.65,477.50
1146.pnml,88.78,16.74,8.66,474.37
1147.pnml,88.81,16.75,8.67,493.30
1148.pnml,88.85,16.77,8.68,474.59
1149.pnml,88.89,16.78,8.68,475.96
114.pnml,26.23,1.68,0.88,49.09
1150.pnml,88.92,16.79,8.69,463.64
1151.pnml,89.07,16.81,8.70,472.45
1152.pnml,89.10,16.82,8.71,486.99
1153.pnml,89.14,16.83,8.71,499.98
1154.pnml,88.99,16.85,8.72,490.12
1155.pnml,89.20,16.86,8.73,480.87
1156.pnml,89.36,16.87,8.74,487.99
1157.pnml,89.39,16.89,8.74,490.21
1158.pnml,89.42,16.90,8.75,467.39
1159.pnml,89.45,16.91,8.76,490.34
115.pnml,26.30,1.70,0.88,48.97
1160.pnml,89.48,16.93,8.77,492.86
1161.pnml,89.61,16.94,8.77,505.76
1162.pnml,89.43,16.95,8.78,491.05
1163.pnml,89.70,16.96,8.79,467.63
1164.pnml,89.73,16.98,8.79,486.71
1165.pnml,89.76,16.99,8.80,471.36
1166.pnml,89.93,17.00,8.81,487.48
1167.pnml,89.91,17.02,8.82,489.33
1168.pnml,89.86,17.03,8.82,483.89
1169.pnml,90.02,17.04,8.83,486.28
116.pnml,26.33,1.71,0.89,51.10
1170.pnml,90.04,17.06,8.84,482.46
1171.pnml,90.02,17.07,8.85,474.67
1172.pnml,90.25,17.08,8.85,498.83
1173.pnml,90.28,17.10,8.86,511.01
1174.pnml,90.11,17.11,8.87,504.71
1175.pnml,90.27,17.12,8.88,499.85
1176.pnml,90.33,17.14,8.88,475.62
1177.pnml,90.52,17.15,8.89,484.78
1178.pnml,90.56,17.16,8.90,493.18
1179.pnml,90.48,17.18,8.90,494.89
117.pnml,26.38,1.72,0.90,50.60
1180.pnml,90.62,17.19,8.91,497.15
1181.pnml,90.61,17.21,8.92,492.89
1182.pnml,90.82,17.23,8.93,510.26
1183.pnml,90.85,17.24,8.93,488.89
1184.pnml,90.87,17.25,8.94,507.63
1185.pnml,90.81,17.27,8.95,483.02
1186.pnml,90.95,17.28,8.96,499.01
1187.pnml,91.10,17.29,8.96,508.36
1188.pnml,91.13,17.31,8.97,502.57
1189.pnml,91.16,17.32,8.98,486.44
118.pnml,26.43,1.74,0.90,54.60
1190.pnml,91.12,17.33,8.99,493.81
1191.pnml,91.23,17.35,8.99,483.92
1192.pnml,91.19,17.36,9.00,503.19
1193.pnml,91.30,17.37,9.01,510.49
1194.pnml,91.46,17.39,9.01,501.92
1195.pnml,91.27,17.40,9.02,494.09
1196.pnml,91.31,17.41,9.03,505.97
1197.pnml,91.62,17.43,9.04,504.06
1198.pnml,91.71,17.44,9.04,512.14
1199.pnml,91.74,17.47,9.06,513.78
119.pnml,26.45,1.75,0.91,49.19
11.pnml,20.35,0.18,0.10,7.62
1200.pnml,91.69,17.50,9.08,515.24
1201.pnml,91.93,17.51,9.09,507.87
1202.pnml,92.10,17.53,9.10,519.23
1203.pnml,92.05,17.54,9.10,505.76
1204.pnml,92.17,17.55,9.11,510.12
1205.pnml,92.19,17.57,9.12,512.26
1206.pnml,92.23,17.58,9.13,502.26
1207.pnml,92.29,17.59,9.13,518.70
1208.pnml,92.41,17.61,9.14,518.67
