file_name,mem_usage_mb,time_ms
T1a_augmented_test_219.pnml,24.00,105.65
T1a_augmented_test_21.pnml,19.37,1.42
T1a_augmented_test_220.pnml,24.19,102.13
T1a_augmented_test_221.pnml,24.20,111.65
T1a_augmented_test_222.pnml,24.07,107.14
T1a_augmented_test_223.pnml,24.32,112.38
T1a_augmented_test_224.pnml,24.32,108.32
T1a_augmented_test_225.pnml,24.32,111.97
T1a_augmented_test_226.pnml,24.32,111.28
T1a_augmented_test_227.pnml,24.32,111.50
T1a_augmented_test_228.pnml,24.32,113.72
T1a_augmented_test_229.pnml,24.45,116.10
T1a_augmented_test_22.pnml,19.49,1.40
T1a_augmented_test_230.pnml,24.45,114.65
T1a_augmented_test_231.pnml,24.32,115.26
T1a_augmented_test_232.pnml,24.45,116.20
T1a_augmented_test_233.pnml,24.45,122.33
T1a_augmented_test_234.pnml,24.45,118.31
T1a_augmented_test_235.pnml,24.45,126.77
T1a_augmented_test_236.pnml,24.57,121.56
T1a_augmented_test_237.pnml,24.57,127.32
T1a_augmented_test_238.pnml,24.45,125.89
T1a_augmented_test_239.pnml,24.57,125.40
T1a_augmented_test_23.pnml,19.50,1.52
T1a_augmented_test_240.pnml,24.70,122.99
T1a_augmented_test_241.pnml,24.57,125.34
T1a_augmented_test_242.pnml,24.70,131.22
T1a_augmented_test_243.pnml,24.70,132.67
T1a_augmented_test_244.pnml,24.82,128.38
T1a_augmented_test_245.pnml,24.70,128.60
T1a_augmented_test_246.pnml,24.82,133.42
T1a_augmented_test_247.pnml,24.82,133.30
T1a_augmented_test_248.pnml,24.70,136.05
T1a_augmented_test_249.pnml,24.70,138.55
T1a_augmented_test_24.pnml,19.50,1.67
T1a_augmented_test_250.pnml,24.95,137.86
T1a_augmented_test_251.pnml,24.95,134.63
T1a_augmented_test_252.pnml,24.82,137.44
T1a_augmented_test_253.pnml,24.72,140.79
T1a_augmented_test_254.pnml,24.95,140.81
T1a_augmented_test_255.pnml,24.95,145.30
T1a_augmented_test_256.pnml,24.70,141.75
T1a_augmented_test_257.pnml,24.95,142.32
T1a_augmented_test_258.pnml,25.07,149.31
T1a_augmented_test_259.pnml,24.95,143.39
T1a_augmented_test_25.pnml,19.38,1.81
T1a_augmented_test_260.pnml,25.07,146.47
T1a_augmented_test_261.pnml,25.20,148.22
T1a_augmented_test_262.pnml,25.20,152.20
T1a_augmented_test_263.pnml,25.07,152.04
T1a_augmented_test_264.pnml,25.20,152.97
T1a_augmented_test_265.pnml,25.20,151.76
T1a_augmented_test_266.pnml,25.20,154.93
T1a_augmented_test_267.pnml,25.32,156.18
T1a_augmented_test_268.pnml,25.07,154.31
T1a_augmented_test_269.pnml,25.32,158.51
T1a_augmented_test_26.pnml,19.51,2.05
T1a_augmented_test_270.pnml,25.20,164.28
T1a_augmented_test_271.pnml,25.32,162.51
T1a_augmented_test_272.pnml,25.32,162.41
T1a_augmented_test_273.pnml,25.32,162.20
T1a_augmented_test_274.pnml,25.31,160.60
T1a_augmented_test_275.pnml,25.45,165.38
T1a_augmented_test_276.pnml,25.45,166.49
T1a_augmented_test_277.pnml,25.45,172.84
T1a_augmented_test_278.pnml,25.57,171.08
T1a_augmented_test_279.pnml,25.57,166.06
T1a_augmented_test_27.pnml,19.64,1.94
T1a_augmented_test_280.pnml,25.57,172.12
T1a_augmented_test_281.pnml,25.57,170.97
T1a_augmented_test_282.pnml,25.57,174.09
T1a_augmented_test_283.pnml,25.70,172.88
T1a_augmented_test_284.pnml,25.70,174.98
T1a_augmented_test_285.pnml,25.57,212.18
T1a_augmented_test_286.pnml,25.69,193.73
T1a_augmented_test_287.pnml,25.70,187.66
T1a_augmented_test_288.pnml,25.70,189.57
T1a_augmented_test_289.pnml,25.82,189.29
T1a_augmented_test_28.pnml,19.52,2.27
T1a_augmented_test_290.pnml,25.70,208.10
T1a_augmented_test_291.pnml,25.82,199.39
T1a_augmented_test_292.pnml,25.82,201.20
T1a_augmented_test_293.pnml,25.70,206.95
T1a_augmented_test_294.pnml,25.82,217.91
T1a_augmented_test_295.pnml,25.82,200.66
T1a_augmented_test_296.pnml,25.82,204.21
T1a_augmented_test_297.pnml,25.82,213.26
T1a_augmented_test_298.pnml,25.82,210.73
T1a_augmented_test_299.pnml,25.95,214.86
T1a_augmented_test_29.pnml,19.40,3.19
T1a_augmented_test_2.pnml,19.20,0.30
T1a_augmented_test_300.pnml,25.95,298.31
T1a_augmented_test_301.pnml,25.82,205.44
T1a_augmented_test_302.pnml,26.07,214.35
T1a_augmented_test_303.pnml,25.95,219.84
T1a_augmented_test_304.pnml,25.95,227.19
T1a_augmented_test_305.pnml,26.00,213.04
T1a_augmented_test_306.pnml,26.20,209.63
T1a_augmented_test_307.pnml,26.07,214.94
T1a_augmented_test_308.pnml,26.07,217.71
T1a_augmented_test_309.pnml,26.07,225.76
T1a_augmented_test_30.pnml,19.41,2.41
T1a_augmented_test_310.pnml,26.20,217.43
T1a_augmented_test_311.pnml,26.32,226.30
T1a_augmented_test_312.pnml,26.20,230.00
T1a_augmented_test_313.pnml,26.32,248.23
T1a_augmented_test_314.pnml,26.20,245.27
T1a_augmented_test_315.pnml,26.32,223.42
T1a_augmented_test_316.pnml,26.32,251.55
T1a_augmented_test_317.pnml,26.32,221.68
T1a_augmented_test_318.pnml,26.45,229.20
T1a_augmented_test_319.pnml,26.45,244.34
T1a_augmented_test_31.pnml,19.54,3.68
T1a_augmented_test_320.pnml,26.32,243.31
T1a_augmented_test_321.pnml,26.57,242.34
T1a_augmented_test_322.pnml,26.45,234.42
T1a_augmented_test_323.pnml,26.44,251.88
T1a_augmented_test_324.pnml,26.46,252.75
T1a_augmented_test_325.pnml,26.57,254.43
T1a_augmented_test_326.pnml,26.70,253.33
T1a_augmented_test_327.pnml,26.69,247.01
T1a_augmented_test_328.pnml,26.57,242.34
T1a_augmented_test_329.pnml,26.70,254.15
T1a_augmented_test_32.pnml,19.57,2.58
T1a_augmented_test_330.pnml,26.70,275.59
T1a_augmented_test_331.pnml,26.57,248.09
T1a_augmented_test_332.pnml,26.82,246.24
T1a_augmented_test_333.pnml,26.70,249.55
T1a_augmented_test_334.pnml,26.70,251.04
T1a_augmented_test_335.pnml,26.70,267.76
T1a_augmented_test_336.pnml,26.70,271.75
T1a_augmented_test_337.pnml,26.82,288.45
T1a_augmented_test_338.pnml,26.69,280.28
T1a_augmented_test_339.pnml,26.95,274.66
T1a_augmented_test_33.pnml,19.45,2.90
T1a_augmented_test_340.pnml,26.73,278.78
T1a_augmented_test_341.pnml,26.95,286.43
T1a_augmented_test_342.pnml,26.95,291.05
T1a_augmented_test_343.pnml,26.95,270.73
T1a_augmented_test_344.pnml,26.95,271.83
T1a_augmented_test_345.pnml,26.95,276.72
T1a_augmented_test_346.pnml,26.98,282.76
T1a_augmented_test_347.pnml,27.07,274.36
T1a_augmented_test_348.pnml,27.07,297.81
T1a_augmented_test_349.pnml,27.19,320.91
T1a_augmented_test_34.pnml,19.45,3.00
T1a_augmented_test_350.pnml,26.96,303.16
T1a_augmented_test_351.pnml,27.20,294.98
T1a_augmented_test_352.pnml,27.07,298.40
T1a_augmented_test_353.pnml,27.07,279.10
T1a_augmented_test_354.pnml,27.20,291.45
T1a_augmented_test_355.pnml,27.20,320.44
T1a_augmented_test_356.pnml,27.32,292.04
T1a_augmented_test_357.pnml,27.32,301.50
T1a_augmented_test_358.pnml,27.32,297.40
T1a_augmented_test_359.pnml,27.32,291.14
T1a_augmented_test_35.pnml,19.59,3.17
T1a_augmented_test_360.pnml,27.45,294.35
T1a_augmented_test_361.pnml,27.45,297.65
T1a_augmented_test_362.pnml,27.45,291.03
T1a_augmented_test_363.pnml,27.45,285.84
T1a_augmented_test_364.pnml,27.45,291.58
T1a_augmented_test_365.pnml,27.32,297.61
T1a_augmented_test_366.pnml,27.57,297.15
T1a_augmented_test_367.pnml,27.45,298.63
T1a_augmented_test_368.pnml,27.57,309.63
T1a_augmented_test_369.pnml,27.57,306.02
T1a_augmented_test_36.pnml,19.59,3.37
T1a_augmented_test_370.pnml,27.45,300.06
T1a_augmented_test_371.pnml,27.70,302.19
T1a_augmented_test_372.pnml,27.57,310.05
T1a_augmented_test_373.pnml,27.57,314.65
T1a_augmented_test_374.pnml,27.70,314.90
T1a_augmented_test_375.pnml,27.70,318.44
T1a_augmented_test_376.pnml,27.70,317.14
T1a_augmented_test_377.pnml,27.70,317.95
T1a_augmented_test_378.pnml,27.82,317.15
T1a_augmented_test_379.pnml,27.70,319.35
T1a_augmented_test_37.pnml,19.47,3.54
T1a_augmented_test_380.pnml,27.70,324.62
T1a_augmented_test_381.pnml,27.82,329.14
T1a_augmented_test_382.pnml,27.75,341.30
T1a_augmented_test_383.pnml,27.95,344.81
T1a_augmented_test_384.pnml,27.95,355.01
T1a_augmented_test_385.pnml,27.82,346.29
T1a_augmented_test_386.pnml,27.95,364.05
T1a_augmented_test_387.pnml,27.95,338.02
T1a_augmented_test_388.pnml,28.07,349.33
T1a_augmented_test_389.pnml,28.07,371.67
T1a_augmented_test_38.pnml,19.60,3.84
T1a_augmented_test_390.pnml,27.95,356.80
T1a_augmented_test_391.pnml,28.07,376.10
T1a_augmented_test_392.pnml,28.07,366.47
T1a_augmented_test_393.pnml,28.07,371.56
T1a_augmented_test_394.pnml,28.12,366.25
T1a_augmented_test_395.pnml,28.07,373.63
T1a_augmented_test_396.pnml,28.20,393.10
T1a_augmented_test_397.pnml,28.07,592.15
T1a_augmented_test_398.pnml,28.08,379.55
T1a_augmented_test_399.pnml,28.20,371.25
T1a_augmented_test_39.pnml,19.48,3.99
T1a_augmented_test_3.pnml,19.32,0.34
T1a_augmented_test_400.pnml,28.32,376.12
T1a_augmented_test_401.pnml,28.20,368.34
T1a_augmented_test_402.pnml,28.20,394.56
T1a_augmented_test_403.pnml,28.32,415.05
T1a_augmented_test_404.pnml,28.32,389.70
T1a_augmented_test_405.pnml,28.32,387.07
T1a_augmented_test_406.pnml,28.45,404.84
T1a_augmented_test_407.pnml,28.33,390.76
T1a_augmented_test_408.pnml,28.45,378.01
T1a_augmented_test_409.pnml,28.57,405.55
T1a_augmented_test_40.pnml,19.49,4.23
T1a_augmented_test_410.pnml,28.57,419.24
T1a_augmented_test_411.pnml,28.45,393.42
T1a_augmented_test_412.pnml,28.45,397.19
T1a_augmented_test_413.pnml,28.57,427.25
T1a_augmented_test_414.pnml,28.57,376.78
T1a_augmented_test_415.pnml,28.70,398.56
T1a_augmented_test_416.pnml,28.70,402.23
T1a_augmented_test_417.pnml,28.70,400.65
T1a_augmented_test_418.pnml,28.70,384.91
T1a_augmented_test_419.pnml,28.70,399.00
T1a_augmented_test_41.pnml,19.61,4.18
T1a_augmented_test_420.pnml,28.70,388.94
T1a_augmented_test_421.pnml,28.82,390.36
T1a_augmented_test_422.pnml,28.82,402.15
T1a_augmented_test_423.pnml,28.82,416.99
T1a_augmented_test_424.pnml,28.82,407.00
T1a_augmented_test_425.pnml,28.82,393.49
T1a_augmented_test_426.pnml,28.95,393.12
T1a_augmented_test_427.pnml,28.95,407.06
T1a_augmented_test_428.pnml,28.95,403.06
T1a_augmented_test_429.pnml,28.95,412.09
T1a_augmented_test_42.pnml,19.62,4.48
T1a_augmented_test_430.pnml,28.95,417.38
T1a_augmented_test_431.pnml,28.95,424.66
T1a_augmented_test_432.pnml,29.07,420.33
T1a_augmented_test_433.pnml,28.95,418.64
T1a_augmented_test_434.pnml,29.07,424.46
T1a_augmented_test_435.pnml,29.07,418.77
T1a_augmented_test_436.pnml,29.07,430.75
T1a_augmented_test_437.pnml,29.20,435.25
T1a_augmented_test_438.pnml,29.32,427.24
T1a_augmented_test_439.pnml,29.07,420.86
T1a_augmented_test_43.pnml,19.50,4.69
T1a_augmented_test_440.pnml,29.07,436.76
T1a_augmented_test_441.pnml,29.07,433.18
T1a_augmented_test_442.pnml,29.20,430.65
T1a_augmented_test_443.pnml,29.20,441.94
T1a_augmented_test_444.pnml,29.20,490.79
T1a_augmented_test_445.pnml,29.07,472.23
T1a_augmented_test_446.pnml,29.20,471.39
T1a_augmented_test_447.pnml,29.20,481.64
T1a_augmented_test_448.pnml,29.32,469.02
T1a_augmented_test_449.pnml,29.32,485.77
T1a_augmented_test_44.pnml,19.50,4.75
T1a_augmented_test_450.pnml,29.32,496.52
T1a_augmented_test_451.pnml,29.45,499.46
T1a_augmented_test_452.pnml,29.20,494.49
T1a_augmented_test_453.pnml,29.32,497.26
T1a_augmented_test_454.pnml,29.45,541.76
T1a_augmented_test_455.pnml,29.45,502.91
T1a_augmented_test_456.pnml,29.45,478.19
T1a_augmented_test_457.pnml,29.57,491.04
T1a_augmented_test_458.pnml,29.58,493.93
T1a_augmented_test_459.pnml,29.44,516.75
T1a_augmented_test_45.pnml,19.50,4.80
T1a_augmented_test_460.pnml,29.70,515.46
T1a_augmented_test_461.pnml,29.57,506.49
T1a_augmented_test_462.pnml,29.70,543.27
T1a_augmented_test_463.pnml,29.57,496.73
T1a_augmented_test_464.pnml,29.70,566.01
T1a_augmented_test_465.pnml,29.57,531.55
T1a_augmented_test_466.pnml,29.75,533.62
T1a_augmented_test_467.pnml,29.82,515.42
T1a_augmented_test_468.pnml,29.58,522.51
T1a_augmented_test_469.pnml,29.62,525.49
T1a_augmented_test_46.pnml,19.63,5.37
T1a_augmented_test_470.pnml,29.82,520.83
T1a_augmented_test_471.pnml,29.95,544.26
T1a_augmented_test_472.pnml,29.95,578.62
T1a_augmented_test_473.pnml,29.95,550.84
T1a_augmented_test_474.pnml,29.82,532.60
T1a_augmented_test_475.pnml,29.82,523.19
T1a_augmented_test_476.pnml,29.82,541.67
T1a_augmented_test_477.pnml,29.82,555.59
T1a_augmented_test_478.pnml,29.95,547.84
T1a_augmented_test_479.pnml,29.82,576.59
T1a_augmented_test_47.pnml,19.64,5.43
T1a_augmented_test_480.pnml,29.95,555.42
T1a_augmented_test_481.pnml,30.07,561.91
T1a_augmented_test_482.pnml,30.20,601.40
T1a_augmented_test_483.pnml,30.19,565.44
T1a_augmented_test_484.pnml,30.20,568.31
T1a_augmented_test_485.pnml,30.20,565.40
T1a_augmented_test_486.pnml,30.20,595.23
T1a_augmented_test_487.pnml,30.32,576.11
T1a_augmented_test_488.pnml,30.07,565.29
T1a_augmented_test_489.pnml,30.32,589.85
T1a_augmented_test_48.pnml,19.64,5.64
T1a_augmented_test_490.pnml,30.32,593.62
T1a_augmented_test_491.pnml,30.10,583.43
T1a_augmented_test_492.pnml,30.45,568.20
T1a_augmented_test_493.pnml,30.20,582.92
T1a_augmented_test_494.pnml,30.20,608.25
T1a_augmented_test_495.pnml,30.45,615.83
T1a_augmented_test_496.pnml,30.45,593.42
T1a_augmented_test_497.pnml,30.45,601.07
T1a_augmented_test_498.pnml,30.57,614.15
T1a_augmented_test_499.pnml,30.57,590.86
T1a_augmented_test_49.pnml,19.52,5.65
T1a_augmented_test_4.pnml,19.32,0.24
T1a_augmented_test_500.pnml,30.57,574.63
T1a_augmented_test_501.pnml,30.32,605.52
T1a_augmented_test_502.pnml,30.57,618.43
T1a_augmented_test_503.pnml,30.70,634.21
T1a_augmented_test_504.pnml,30.57,660.15
T1a_augmented_test_505.pnml,30.70,601.14
T1a_augmented_test_506.pnml,30.70,632.92
T1a_augmented_test_507.pnml,30.70,643.98
T1a_augmented_test_508.pnml,30.57,642.24
T1a_augmented_test_509.pnml,30.82,606.59
T1a_augmented_test_50.pnml,19.63,5.92
T1a_augmented_test_510.pnml,30.57,629.64
T1a_augmented_test_511.pnml,30.70,637.60
T1a_augmented_test_512.pnml,30.82,624.11
