filename,transitions,places,nodes
979.pnml,6861,5882,15682
30.pnml,218,188,498
315.pnml,2213,1898,5058
664.pnml,4656,3992,10642
686.pnml,4810,4124,10994
405.pnml,2843,2438,6498
161.pnml,1135,974,2594
25.pnml,183,158,418
428.pnml,3004,2576,6866
840.pnml,5888,5048,13458
520.pnml,3648,3128,8338
279.pnml,1961,1682,4482
29.pnml,211,182,482
92.pnml,652,560,1490
383.pnml,2689,2306,6146
548.pnml,3844,3296,8786
828.pnml,5804,4976,13266
308.pnml,2164,1856,4946
107.pnml,757,650,1730
953.pnml,6679,5726,15266
473.pnml,3319,2846,7586
421.pnml,2955,2534,6754
430.pnml,3018,2588,6898
307.pnml,2157,1850,4930
296.pnml,2080,1784,4754
199.pnml,1401,1202,3202
259.pnml,1821,1562,4162
573.pnml,4019,3446,9186
340.pnml,2388,2048,5458
575.pnml,4033,3458,9218
115.pnml,813,698,1858
54.pnml,386,332,882
159.pnml,1121,962,2562
446.pnml,3130,2684,7154
116.pnml,820,704,1874
540.pnml,3788,3248,8658
165.pnml,1163,998,2658
134.pnml,946,812,2162
196.pnml,1380,1184,3154
667.pnml,4677,4010,10690
684.pnml,4796,4112,10962
510.pnml,3578,3068,8178
713.pnml,4999,4286,11426
333.pnml,2339,2006,5346
1000.pnml,7008,6008,16018
111.pnml,785,674,1794
93.pnml,659,566,1506
460.pnml,3228,2768,7378
478.pnml,3354,2876,7666
600.pnml,4208,3608,9618
309.pnml,2171,1862,4962
324.pnml,2276,1952,5202
648.pnml,4544,3896,10386
574.pnml,4026,3452,9202
788.pnml,5524,4736,12626
44.pnml,316,272,722
534.pnml,3746,3212,8562
96.pnml,680,584,1554
746.pnml,5230,4484,11954
149.pnml,1051,902,2402
201.pnml,1415,1214,3234
32.pnml,232,200,530
20.pnml,148,128,338
708.pnml,4964,4256,11346
576.pnml,4040,3464,9234
582.pnml,4082,3500,9330
0.pnml,8,8,18
524.pnml,3676,3152,8402
547.pnml,3837,3290,8770
783.pnml,5489,4706,12546
620.pnml,4348,3728,9938
937.pnml,6567,5630,15010
424.pnml,2976,2552,6802
150.pnml,1058,908,2418
886.pnml,6210,5324,14194
293.pnml,2059,1766,4706
250.pnml,1758,1508,4018
243.pnml,1709,1466,3906
972.pnml,6812,5840,15570
977.pnml,6847,5870,15650
958.pnml,6714,5756,15346
763.pnml,5349,4586,12226
775.pnml,5433,4658,12418
43.pnml,309,266,706
475.pnml,3333,2858,7618
209.pnml,1471,1262,3362
784.pnml,5496,4712,12562
351.pnml,2465,2114,5634
745.pnml,5223,4478,11938
120.pnml,848,728,1938
558.pnml,3914,3356,8946
46.pnml,330,284,754
435.pnml,3053,2618,6978
592.pnml,4152,3560,9490
