filename,transitions,places,nodes
803.pnml,5629,4826,12866
856.pnml,6000,5144,13714
982.pnml,6882,5900,15730
767.pnml,5377,4610,12290
242.pnml,1702,1460,3890
691.pnml,4845,4154,11074
395.pnml,2773,2378,6338
106.pnml,750,644,1714
328.pnml,2304,1976,5266
789.pnml,5531,4742,12642
21.pnml,155,134,354
504.pnml,3536,3032,8082
986.pnml,6910,5924,15794
83.pnml,589,506,1346
626.pnml,4390,3764,10034
374.pnml,2626,2252,6002
931.pnml,6525,5594,14914
935.pnml,6553,5618,14978
625.pnml,4383,3758,10018
875.pnml,6133,5258,14018
274.pnml,1926,1652,4402
849.pnml,5951,5102,13602
842.pnml,5902,5060,13490
386.pnml,2710,2324,6194
162.pnml,1142,980,2610
924.pnml,6476,5552,14802
257.pnml,1807,1550,4130
791.pnml,5545,4754,12674
167.pnml,1177,1010,2690
587.pnml,4117,3530,9410
861.pnml,6035,5174,13794
457.pnml,3207,2750,7330
881.pnml,6175,5294,14114
59.pnml,421,362,962
373.pnml,2619,2246,5986
885.pnml,6203,5318,14178
901.pnml,6315,5414,14434
179.pnml,1261,1082,2882
135.pnml,953,818,2178
407.pnml,2857,2450,6530
358.pnml,2514,2156,5746
472.pnml,3312,2840,7570
316.pnml,2220,1904,5074
707.pnml,4957,4250,11330
269.pnml,1891,1622,4322
147.pnml,1037,890,2370
466.pnml,3270,2804,7474
773.pnml,5419,4646,12386
169.pnml,1191,1022,2722
