file_name,mem_usage_mb,time_ms
318,26.06,18.18
319,26.06,17.47
320,26.06,18.20
321,25.81,17.13
322,26.18,16.78
323,26.06,17.86
324,26.18,18.05
325,26.05,18.27
326,26.06,18.63
327,26.19,18.68
328,26.30,19.14
329,26.18,16.47
330,26.31,19.22
331,26.31,19.10
332,26.12,18.89
333,26.44,17.28
334,26.30,19.57
335,26.44,18.81
336,26.44,18.85
337,26.44,18.94
338,26.19,18.22
339,26.38,19.50
340,26.44,18.31
341,26.44,17.91
342,26.56,18.49
343,26.62,18.23
344,26.55,19.23
345,26.69,18.69
346,26.69,18.96
347,26.69,19.36
348,26.56,19.43
349,26.56,19.61
350,26.81,20.16
351,26.56,19.73
352,26.81,18.76
353,26.81,18.03
354,26.81,18.19
355,26.81,18.11
356,26.93,18.46
357,26.81,19.12
358,26.94,19.93
359,26.68,19.07
360,26.93,18.10
361,26.93,20.78
362,26.93,18.31
363,26.94,19.93
364,27.06,18.19
365,27.06,19.37
366,26.93,19.04
367,27.18,19.41
368,27.18,20.69
369,27.19,20.31
370,27.18,21.22
371,27.19,21.20
372,27.19,21.46
373,27.31,20.23
374,27.31,19.28
375,27.25,20.80
376,27.19,21.18
377,27.18,21.19
378,27.31,21.13
379,27.44,20.63
380,27.44,20.06
381,27.43,20.46
382,27.43,21.60
383,27.31,21.96
384,27.31,20.78
385,27.56,20.85
386,27.44,21.80
387,27.56,19.17
388,27.56,21.76
389,27.56,20.98
390,27.43,21.15
391,27.69,21.59
392,27.56,21.22
393,27.68,21.23
394,27.69,21.80
395,27.56,21.82
396,27.69,31.72
397,27.69,22.18
398,27.68,22.07
399,27.68,22.10
400,27.81,21.77
401,27.56,21.42
402,27.93,22.61
403,27.94,22.31
404,27.81,22.21
405,27.93,22.26
406,27.94,21.69
407,27.75,22.55
408,27.94,23.65
409,28.06,22.15
410,27.94,21.42
411,27.94,22.57
412,28.05,22.09
413,27.94,21.57
414,28.06,23.43
415,28.18,21.88
416,28.18,22.53
417,28.18,22.71
418,28.18,22.95
419,28.31,23.22
420,28.08,21.56
421,28.31,23.96
422,28.31,23.77
423,28.19,22.97
424,28.31,24.12
