file_name,mem_usage_mb,time_ms
T1a_augmented_test_219.pnml,24.20,104.95
T1a_augmented_test_21.pnml,19.27,1.59
T1a_augmented_test_220.pnml,24.20,106.72
T1a_augmented_test_221.pnml,24.20,106.44
T1a_augmented_test_222.pnml,24.07,108.06
T1a_augmented_test_223.pnml,24.32,107.41
T1a_augmented_test_224.pnml,24.32,107.75
T1a_augmented_test_225.pnml,24.32,117.43
T1a_augmented_test_226.pnml,24.32,119.31
T1a_augmented_test_227.pnml,24.32,109.64
T1a_augmented_test_228.pnml,24.32,114.39
T1a_augmented_test_229.pnml,24.32,116.48
T1a_augmented_test_22.pnml,19.48,1.41
T1a_augmented_test_230.pnml,24.45,115.37
T1a_augmented_test_231.pnml,24.45,119.09
T1a_augmented_test_232.pnml,24.45,119.30
T1a_augmented_test_233.pnml,24.45,119.69
T1a_augmented_test_234.pnml,24.57,117.32
T1a_augmented_test_235.pnml,24.57,122.42
T1a_augmented_test_236.pnml,24.57,131.30
T1a_augmented_test_237.pnml,24.57,129.23
T1a_augmented_test_238.pnml,24.45,124.49
T1a_augmented_test_239.pnml,24.57,123.76
T1a_augmented_test_23.pnml,19.49,1.47
T1a_augmented_test_240.pnml,24.57,125.44
T1a_augmented_test_241.pnml,24.70,124.95
T1a_augmented_test_242.pnml,24.70,129.38
T1a_augmented_test_243.pnml,24.57,128.81
T1a_augmented_test_244.pnml,24.70,130.38
T1a_augmented_test_245.pnml,24.82,124.53
T1a_augmented_test_246.pnml,24.82,132.78
T1a_augmented_test_247.pnml,24.82,136.57
T1a_augmented_test_248.pnml,24.82,131.89
T1a_augmented_test_249.pnml,24.70,138.38
T1a_augmented_test_24.pnml,19.50,1.68
T1a_augmented_test_250.pnml,24.95,138.07
T1a_augmented_test_251.pnml,24.82,143.54
T1a_augmented_test_252.pnml,24.95,133.62
T1a_augmented_test_253.pnml,24.95,144.87
T1a_augmented_test_254.pnml,24.94,143.13
T1a_augmented_test_255.pnml,24.82,139.40
T1a_augmented_test_256.pnml,25.07,156.92
T1a_augmented_test_257.pnml,25.07,149.24
T1a_augmented_test_258.pnml,25.07,146.37
T1a_augmented_test_259.pnml,25.07,145.83
T1a_augmented_test_25.pnml,19.50,1.84
T1a_augmented_test_260.pnml,25.07,145.15
T1a_augmented_test_261.pnml,25.20,149.79
T1a_augmented_test_262.pnml,25.07,154.15
T1a_augmented_test_263.pnml,25.07,150.19
T1a_augmented_test_264.pnml,24.93,159.11
T1a_augmented_test_265.pnml,25.07,154.49
T1a_augmented_test_266.pnml,25.07,172.80
T1a_augmented_test_267.pnml,25.32,161.74
T1a_augmented_test_268.pnml,25.45,161.39
T1a_augmented_test_269.pnml,25.20,159.71
T1a_augmented_test_26.pnml,19.50,2.23
T1a_augmented_test_270.pnml,25.32,163.77
T1a_augmented_test_271.pnml,25.20,166.10
T1a_augmented_test_272.pnml,25.45,171.49
T1a_augmented_test_273.pnml,25.45,162.69
T1a_augmented_test_274.pnml,25.45,174.78
T1a_augmented_test_275.pnml,25.45,165.97
T1a_augmented_test_276.pnml,25.45,167.61
T1a_augmented_test_277.pnml,25.45,161.64
T1a_augmented_test_278.pnml,25.57,177.99
T1a_augmented_test_279.pnml,25.57,172.64
T1a_augmented_test_27.pnml,19.62,1.96
T1a_augmented_test_280.pnml,25.57,185.00
T1a_augmented_test_281.pnml,25.57,174.88
T1a_augmented_test_282.pnml,25.57,176.02
T1a_augmented_test_283.pnml,25.70,199.95
T1a_augmented_test_284.pnml,25.70,178.80
T1a_augmented_test_285.pnml,25.70,182.82
T1a_augmented_test_286.pnml,25.70,182.29
T1a_augmented_test_287.pnml,25.57,183.10
T1a_augmented_test_288.pnml,25.57,183.79
T1a_augmented_test_289.pnml,25.70,196.13
T1a_augmented_test_28.pnml,19.52,2.31
T1a_augmented_test_290.pnml,25.82,184.88
T1a_augmented_test_291.pnml,25.82,181.06
T1a_augmented_test_292.pnml,25.82,189.27
T1a_augmented_test_293.pnml,25.82,216.21
T1a_augmented_test_294.pnml,25.82,200.70
