file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
568.pnml,53.98,8.19,4.30,,,,,237.28
569.pnml,54.02,8.20,4.31,,,,,241.20
56.pnml,23.11,0.85,0.44,,,,,27.56
570.pnml,54.05,8.21,4.31,,,,,239.25
571.pnml,54.10,8.23,4.32,,,,,267.53
572.pnml,54.20,8.24,4.33,,,,,239.42
573.pnml,53.98,8.25,4.34,,,,,259.24
574.pnml,54.26,8.27,4.34,,,,,250.27
575.pnml,54.42,8.28,4.35,,,,,251.92
576.pnml,54.46,8.29,4.36,,,,,237.48
577.pnml,54.61,8.30,4.37,,,,,239.04
578.pnml,54.43,8.32,4.37,,,,,243.90
579.pnml,54.67,8.33,4.38,,,,,239.84
57.pnml,23.11,0.87,0.44,,,,,27.56
580.pnml,54.71,8.35,4.39,,,,,247.64
581.pnml,54.74,8.36,4.39,,,,,256.95
582.pnml,54.77,8.38,4.40,,,,,247.16
583.pnml,54.80,8.39,4.41,,,,,253.45
584.pnml,54.84,8.40,4.42,,,,,251.95
585.pnml,54.99,8.42,4.42,,,,,255.64
586.pnml,55.03,8.43,4.43,,,,,257.67
587.pnml,54.98,8.44,4.44,,,,,249.46
588.pnml,55.06,8.46,4.45,,,,,250.76
589.pnml,55.21,8.48,4.46,,,,,239.39
58.pnml,23.23,0.88,0.45,,,,,28.73
590.pnml,55.29,8.50,4.47,,,,,255.25
591.pnml,55.31,8.51,4.48,,,,,240.83
592.pnml,55.35,8.53,4.49,,,,,246.82
593.pnml,55.51,8.54,4.49,,,,,255.24
594.pnml,55.54,8.55,4.50,,,,,245.49
595.pnml,55.57,8.57,4.51,,,,,249.87
596.pnml,55.60,8.58,4.52,,,,,251.28
597.pnml,55.64,8.59,4.52,,,,,261.71
598.pnml,55.79,8.61,4.53,,,,,239.98
599.pnml,55.82,8.62,4.54,,,,,259.27
59.pnml,23.23,0.90,0.46,,,,,26.11
5.pnml,20.11,0.11,0.05,,,,,2.74
600.pnml,55.86,8.63,4.55,,,,,239.67
601.pnml,55.87,8.65,4.55,,,,,253.16
602.pnml,55.91,8.66,4.56,,,,,250.18
603.pnml,56.08,8.67,4.57,,,,,249.07
604.pnml,55.98,8.68,4.58,,,,,250.96
605.pnml,56.11,8.70,4.58,,,,,259.69
606.pnml,56.17,8.71,4.59,,,,,248.29
607.pnml,56.21,8.72,4.60,,,,,254.04
608.pnml,56.25,8.74,4.60,,,,,262.24
609.pnml,56.11,8.75,4.61,,,,,261.60
60.pnml,23.36,0.91,0.47,,,,,28.73
610.pnml,56.45,8.77,4.62,,,,,249.84
611.pnml,56.36,8.78,4.63,,,,,273.19
612.pnml,56.51,8.79,4.64,,,,,255.22
613.pnml,56.55,8.81,4.64,,,,,255.16
614.pnml,56.52,8.82,4.65,,,,,253.86
615.pnml,56.62,8.83,4.66,,,,,264.21
616.pnml,56.73,8.85,4.67,,,,,256.18
617.pnml,56.76,8.86,4.67,,,,,261.09
618.pnml,56.77,8.87,4.68,,,,,250.96
619.pnml,56.82,8.89,4.69,,,,,266.98
61.pnml,23.61,0.92,0.47,,,,,31.53
620.pnml,56.81,8.90,4.70,,,,,252.54
621.pnml,57.02,8.91,4.70,,,,,255.33
622.pnml,57.05,8.93,4.71,,,,,263.58
623.pnml,57.08,8.94,4.72,,,,,269.65
624.pnml,57.11,8.95,4.72,,,,,274.41
625.pnml,57.16,8.97,4.73,,,,,256.09
626.pnml,57.32,8.98,4.74,,,,,270.51
627.pnml,57.35,8.99,4.75,,,,,268.68
628.pnml,57.38,9.01,4.75,,,,,265.91
629.pnml,57.41,9.02,4.76,,,,,281.79
62.pnml,23.61,0.94,0.48,,,,,31.60
630.pnml,57.44,9.03,4.77,,,,,257.94
631.pnml,57.59,9.05,4.78,,,,,286.93
632.pnml,57.63,9.06,4.78,,,,,270.33
633.pnml,57.60,9.07,4.79,,,,,285.01
634.pnml,57.69,9.09,4.80,,,,,261.95
635.pnml,57.67,9.10,4.81,,,,,273.33
636.pnml,58.00,9.11,4.81,,,,,265.08
637.pnml,57.79,9.13,4.82,,,,,269.53
638.pnml,57.94,9.14,4.83,,,,,270.14
639.pnml,57.97,9.15,4.83,,,,,268.47
63.pnml,23.73,0.95,0.49,,,,,30.13
640.pnml,58.00,9.17,4.84,,,,,274.59
641.pnml,58.16,9.18,4.85,,,,,270.13
642.pnml,58.19,9.19,4.86,,,,,264.80
643.pnml,58.21,9.21,4.86,,,,,265.18
644.pnml,58.25,9.22,4.87,,,,,260.08
645.pnml,58.28,9.23,4.88,,,,,267.98
646.pnml,58.45,9.25,4.89,,,,,277.34
647.pnml,58.46,9.26,4.89,,,,,278.98
648.pnml,58.52,9.27,4.90,,,,,268.53
649.pnml,58.37,9.29,4.91,,,,,285.76
64.pnml,23.73,0.96,0.50,,,,,30.33
650.pnml,58.59,9.30,4.92,,,,,280.88
651.pnml,58.63,9.31,4.92,,,,,270.84
652.pnml,58.78,9.33,4.93,,,,,287.29
653.pnml,58.82,9.35,4.94,,,,,302.15
654.pnml,58.86,9.36,4.95,,,,,290.11
655.pnml,58.72,9.37,4.95,,,,,301.20
656.pnml,58.88,9.38,4.96,,,,,298.60
657.pnml,59.04,9.40,4.97,,,,,291.39
658.pnml,59.05,9.41,4.97,,,,,301.65
659.pnml,59.11,9.42,4.98,,,,,275.22
65.pnml,23.73,0.98,0.50,,,,,30.98
660.pnml,59.14,9.44,4.99,,,,,285.04
661.pnml,59.29,9.45,5.00,,,,,268.73
662.pnml,59.32,9.46,5.00,,,,,285.54
663.pnml,59.33,9.49,5.02,,,,,273.87
664.pnml,59.52,9.51,5.03,,,,,282.29
665.pnml,59.32,9.52,5.04,,,,,276.91
666.pnml,59.59,9.54,5.05,,,,,280.93
667.pnml,59.62,9.55,5.05,,,,,280.12
668.pnml,59.65,9.56,5.06,,,,,285.18
669.pnml,59.80,9.58,5.07,,,,,283.56
66.pnml,23.86,0.99,0.51,,,,,35.32
670.pnml,59.85,9.59,5.08,,,,,274.82
671.pnml,59.73,9.60,5.08,,,,,280.54
672.pnml,59.91,9.62,5.09,,,,,281.53
673.pnml,59.94,9.63,5.10,,,,,279.09
674.pnml,59.97,9.64,5.11,,,,,295.66
675.pnml,60.13,9.66,5.11,,,,,277.22
676.pnml,60.15,9.67,5.12,,,,,285.43
677.pnml,60.19,9.68,5.13,,,,,296.24
678.pnml,60.22,9.70,5.13,,,,,277.32
679.pnml,60.25,9.71,5.14,,,,,288.31
67.pnml,23.86,1.00,0.52,,,,,29.88
680.pnml,60.39,9.72,5.15,,,,,274.15
681.pnml,60.32,9.74,5.16,,,,,282.74
682.pnml,58.49,9.75,5.16,,,,,298.28
683.pnml,58.66,9.76,5.17,,,,,288.50
684.pnml,58.58,9.78,5.18,,,,,315.21
685.pnml,58.62,9.79,5.19,,,,,297.04
686.pnml,58.67,9.80,5.19,,,,,293.96
687.pnml,58.64,9.82,5.20,,,,,289.47
688.pnml,58.76,9.83,5.21,,,,,310.96
689.pnml,58.94,9.85,5.22,,,,,290.66
68.pnml,23.98,1.02,0.53,,,,,34.61
690.pnml,58.86,9.86,5.23,,,,,301.94
691.pnml,59.03,9.87,5.23,,,,,292.24
692.pnml,58.95,9.89,5.24,,,,,301.31
693.pnml,59.12,9.90,5.25,,,,,292.74
694.pnml,59.17,9.91,5.26,,,,,302.29
695.pnml,59.21,9.93,5.26,,,,,293.69
696.pnml,59.26,9.94,5.27,,,,,298.71
697.pnml,59.30,9.95,5.28,,,,,298.56
698.pnml,59.35,9.97,5.28,,,,,297.14
699.pnml,59.39,9.98,5.29,,,,,309.48
69.pnml,23.98,1.03,0.54,,,,,33.33
6.pnml,20.11,0.12,0.06,,,,,4.15
700.pnml,59.25,9.99,5.30,,,,,303.18
701.pnml,59.50,10.01,5.31,,,,,297.81
702.pnml,59.54,10.02,5.31,,,,,321.69
703.pnml,59.50,10.03,5.32,,,,,356.54
704.pnml,59.57,10.05,5.33,,,,,341.46
705.pnml,59.68,10.06,5.34,,,,,330.40
706.pnml,59.85,10.07,5.34,,,,,317.95
707.pnml,59.76,10.09,5.35,,,,,318.21
708.pnml,59.93,10.10,5.36,,,,,319.37
709.pnml,59.98,10.11,5.37,,,,,329.67
70.pnml,23.98,1.05,0.54,,,,,35.84
710.pnml,60.02,10.12,5.37,,,,,335.27
711.pnml,60.01,10.14,5.38,,,,,308.65
712.pnml,59.89,10.15,5.39,,,,,327.81
713.pnml,60.13,10.16,5.39,,,,,323.75
714.pnml,60.21,10.18,5.40,,,,,337.86
715.pnml,60.27,10.19,5.41,,,,,331.14
716.pnml,60.32,10.20,5.42,,,,,347.00
717.pnml,60.34,10.22,5.42,,,,,324.96
718.pnml,60.53,10.23,5.43,,,,,364.88
719.pnml,60.53,10.24,5.44,,,,,329.62
71.pnml,24.11,1.06,0.55,,,,,35.72
720.pnml,60.56,10.26,5.45,,,,,342.16
721.pnml,60.45,10.27,5.45,,,,,323.10
722.pnml,60.70,10.28,5.46,,,,,309.04
723.pnml,60.51,10.30,5.47,,,,,318.53
724.pnml,60.93,10.31,5.48,,,,,296.13
725.pnml,60.63,10.32,5.48,,,,,321.73
726.pnml,60.89,10.34,5.49,,,,,317.55
727.pnml,60.88,10.35,5.50,,,,,303.40
728.pnml,60.87,10.36,5.50,,,,,305.24
729.pnml,61.03,10.38,5.51,,,,,325.98
72.pnml,24.08,1.07,0.56,,,,,33.60
730.pnml,61.11,10.39,5.52,,,,,336.97
731.pnml,61.13,10.40,5.53,,,,,342.03
732.pnml,61.29,10.42,5.53,,,,,342.69
733.pnml,61.34,10.43,5.54,,,,,318.61
734.pnml,61.39,10.44,5.55,,,,,309.86
735.pnml,61.32,10.46,5.56,,,,,324.49
736.pnml,61.48,10.48,5.56,,,,,323.51
737.pnml,61.53,10.49,5.57,,,,,337.19
738.pnml,61.57,10.50,5.58,,,,,321.19
739.pnml,61.48,10.52,5.59,,,,,319.23
73.pnml,24.11,1.09,0.56,,,,,33.04
740.pnml,61.62,10.53,5.59,,,,,305.52
741.pnml,61.84,10.54,5.60,,,,,351.05
742.pnml,61.91,10.56,5.61,,,,,316.62
743.pnml,61.92,10.57,5.62,,,,,312.70
744.pnml,61.97,10.58,5.62,,,,,317.25
745.pnml,62.02,10.60,5.63,,,,,316.21
746.pnml,62.19,10.62,5.64,,,,,323.89
747.pnml,62.11,10.63,5.65,,,,,326.73
748.pnml,62.27,10.66,5.67,,,,,339.83
749.pnml,62.23,10.67,5.67,,,,,318.46
74.pnml,24.23,1.10,0.57,,,,,34.65
750.pnml,62.35,10.68,5.68,,,,,306.89
751.pnml,62.39,10.70,5.69,,,,,329.28
752.pnml,62.36,10.71,5.70,,,,,309.29
753.pnml,62.47,10.72,5.70,,,,,315.51
754.pnml,62.63,10.74,5.71,,,,,329.55
755.pnml,62.68,10.75,5.72,,,,,319.69
756.pnml,62.69,10.76,5.73,,,,,325.28
757.pnml,62.75,10.78,5.73,,,,,325.48
758.pnml,62.80,10.79,5.74,,,,,320.79
759.pnml,62.84,10.80,5.75,,,,,328.54
75.pnml,24.23,1.11,0.58,,,,,36.30
760.pnml,62.89,10.82,5.75,,,,,323.53
761.pnml,62.89,10.83,5.76,,,,,337.22
762.pnml,62.96,10.84,5.77,,,,,333.83
763.pnml,62.90,10.86,5.78,,,,,349.14
764.pnml,62.85,10.87,5.78,,,,,321.37
765.pnml,63.21,10.88,5.79,,,,,312.57
766.pnml,63.25,10.90,5.80,,,,,342.83
767.pnml,63.12,10.91,5.81,,,,,329.68
768.pnml,63.31,10.92,5.81,,,,,315.48
769.pnml,63.30,10.94,5.82,,,,,349.43
76.pnml,24.36,1.13,0.59,,,,,36.30
770.pnml,63.44,10.95,5.83,,,,,335.26
771.pnml,63.30,10.96,5.84,,,,,338.06
772.pnml,63.45,10.98,5.84,,,,,334.49
773.pnml,63.57,10.99,5.85,,,,,328.51
774.pnml,63.62,11.01,5.86,,,,,326.78
775.pnml,63.80,11.02,5.87,,,,,346.45
776.pnml,63.71,11.03,5.88,,,,,353.90
777.pnml,63.89,11.05,5.88,,,,,316.88
778.pnml,63.93,11.06,5.89,,,,,337.35
779.pnml,63.98,11.07,5.90,,,,,335.00
77.pnml,24.36,1.14,0.60,,,,,36.85
780.pnml,64.03,11.19,5.91,,,,,320.82
781.pnml,64.07,11.20,5.91,,,,,334.75
782.pnml,64.12,11.21,5.92,,,,,336.94
783.pnml,64.16,11.22,5.93,,,,,334.83
784.pnml,64.22,11.24,5.93,,,,,336.92
785.pnml,64.25,11.25,5.94,,,,,349.29
786.pnml,64.30,11.26,5.95,,,,,349.09
787.pnml,64.32,11.28,5.96,,,,,352.68
788.pnml,64.39,11.29,5.96,,,,,346.54
789.pnml,64.56,11.30,5.97,,,,,340.75
78.pnml,24.46,1.16,0.60,,,,,37.21
790.pnml,64.57,11.32,5.98,,,,,335.15
791.pnml,64.53,11.33,5.99,,,,,336.48
792.pnml,64.70,11.34,5.99,,,,,338.39
793.pnml,64.75,11.36,6.00,,,,,351.00
794.pnml,64.79,11.37,6.01,,,,,340.66
795.pnml,64.78,11.38,6.02,,,,,343.15
796.pnml,64.89,11.40,6.02,,,,,347.99
797.pnml,64.92,11.41,6.03,,,,,341.66
798.pnml,64.98,11.42,6.04,,,,,348.72
799.pnml,65.03,11.44,6.04,,,,,332.39
79.pnml,24.48,1.17,0.61,,,,,35.71
7.pnml,20.23,0.13,0.07,,,,,4.28
800.pnml,65.20,11.45,6.05,,,,,325.25
801.pnml,65.24,11.46,6.06,,,,,350.05
802.pnml,65.29,11.48,6.07,,,,,350.55
803.pnml,65.25,11.49,6.07,,,,,336.23
804.pnml,65.39,11.50,6.08,,,,,350.15
805.pnml,65.36,11.52,6.09,,,,,346.53
806.pnml,65.46,11.53,6.10,,,,,336.56
807.pnml,65.64,11.54,6.10,,,,,337.90
808.pnml,65.39,11.56,6.11,,,,,339.94
809.pnml,65.61,11.57,6.12,,,,,336.47
80.pnml,24.61,1.18,0.62,,,,,36.33
810.pnml,65.66,11.58,6.13,,,,,328.12
811.pnml,65.71,11.60,6.13,,,,,356.58
812.pnml,65.75,11.61,6.14,,,,,343.95
813.pnml,65.91,11.62,6.15,,,,,343.00
814.pnml,66.09,11.64,6.15,,,,,361.23
815.pnml,66.01,11.65,6.16,,,,,355.75
816.pnml,66.05,11.66,6.17,,,,,344.09
817.pnml,66.01,11.68,6.18,,,,,374.52
818.pnml,66.14,12.06,6.18,,,,,457.13
819.pnml,66.09,12.08,6.19,,,,,344.99
81.pnml,24.57,1.20,0.63,,,,,36.68
820.pnml,66.24,12.09,6.20,,,,,358.71
821.pnml,66.28,12.10,6.21,,,,,365.55
822.pnml,66.33,12.12,6.21,,,,,356.05
823.pnml,66.38,12.13,6.22,,,,,357.21
824.pnml,66.42,12.14,6.23,,,,,376.28
825.pnml,66.59,12.16,6.24,,,,,354.66
826.pnml,66.77,12.17,6.24,,,,,343.35
827.pnml,66.68,12.18,6.25,,,,,345.64
828.pnml,66.73,12.20,6.26,,,,,369.85
829.pnml,66.77,12.22,6.26,,,,,358.35
82.pnml,24.61,1.21,0.63,,,,,36.94
830.pnml,66.82,12.23,6.27,,,,,348.79
831.pnml,66.87,12.24,6.28,,,,,340.57
832.pnml,66.83,12.26,6.29,,,,,352.60
833.pnml,66.97,12.27,6.29,,,,,349.96
834.pnml,66.98,12.28,6.30,,,,,353.66
835.pnml,67.05,12.30,6.31,,,,,381.64
836.pnml,67.10,12.31,6.32,,,,,344.74
837.pnml,67.26,12.32,6.32,,,,,373.64
838.pnml,67.45,12.34,6.33,,,,,369.39
839.pnml,67.36,12.35,6.34,,,,,341.45
83.pnml,24.73,1.22,0.64,,,,,37.90
840.pnml,67.40,12.36,6.35,,,,,355.71
841.pnml,67.46,12.39,6.36,,,,,350.77
842.pnml,67.61,12.41,6.38,,,,,385.33
843.pnml,67.67,12.43,6.38,,,,,339.30
844.pnml,67.59,12.44,6.39,,,,,370.00
845.pnml,67.73,12.45,6.40,,,,,363.61
846.pnml,67.72,12.47,6.41,,,,,362.73
847.pnml,67.82,12.48,6.41,,,,,363.15
848.pnml,67.87,12.49,6.42,,,,,378.92
849.pnml,68.03,12.51,6.43,,,,,362.99
84.pnml,24.59,1.24,0.65,,,,,38.04
850.pnml,68.07,12.52,6.44,,,,,354.21
851.pnml,68.11,12.53,6.44,,,,,360.67
852.pnml,68.16,12.55,6.45,,,,,359.54
853.pnml,68.12,12.56,6.46,,,,,372.07
854.pnml,68.36,12.57,6.47,,,,,362.83
855.pnml,68.40,12.59,6.47,,,,,365.01
856.pnml,68.32,12.60,6.48,,,,,369.16
857.pnml,68.47,12.61,6.49,,,,,370.62
858.pnml,68.40,12.63,6.49,,,,,354.71
859.pnml,68.23,12.64,6.50,,,,,365.13
85.pnml,24.64,1.25,0.66,,,,,37.22
860.pnml,68.48,12.65,6.51,,,,,372.17
861.pnml,68.77,12.67,6.52,,,,,369.59
862.pnml,68.69,12.68,6.52,,,,,372.02
863.pnml,68.73,12.69,6.53,,,,,374.77
864.pnml,68.78,12.71,6.54,,,,,361.93
865.pnml,68.83,12.72,6.55,,,,,373.28
866.pnml,68.87,12.73,6.55,,,,,364.70
867.pnml,68.92,12.75,6.56,,,,,367.42
868.pnml,68.93,12.76,6.57,,,,,377.91
869.pnml,69.00,12.77,6.58,,,,,376.87
86.pnml,24.68,1.26,0.66,,,,,38.54
870.pnml,69.18,12.79,6.58,,,,,357.57
871.pnml,69.11,12.80,6.59,,,,,367.68
872.pnml,69.25,12.82,6.60,,,,,372.20
873.pnml,69.16,12.83,6.61,,,,,393.15
874.pnml,69.38,12.84,6.62,,,,,375.68
875.pnml,69.55,12.86,6.62,,,,,378.02
876.pnml,69.59,12.87,6.63,,,,,377.34
877.pnml,69.36,12.88,6.64,,,,,371.95
878.pnml,69.68,12.90,6.65,,,,,379.48
879.pnml,69.59,12.91,6.65,,,,,370.84
87.pnml,24.74,1.28,0.67,,,,,43.40
880.pnml,68.72,12.92,6.66,,,,,375.22
881.pnml,69.59,12.94,6.67,,,,,361.18
882.pnml,69.74,12.95,6.67,,,,,377.81
883.pnml,69.76,12.96,6.68,,,,,379.58
884.pnml,69.95,12.98,6.69,,,,,368.51
885.pnml,70.12,12.99,6.70,,,,,404.49
886.pnml,70.03,13.00,6.70,,,,,377.34
887.pnml,70.00,13.02,6.71,,,,,392.93
888.pnml,69.99,13.03,6.72,,,,,362.20
889.pnml,70.18,13.04,6.73,,,,,378.97
88.pnml,24.79,1.29,0.68,,,,,39.11
890.pnml,70.23,13.06,6.73,,,,,371.21
891.pnml,70.28,13.07,6.74,,,,,402.00
892.pnml,70.32,13.08,6.75,,,,,411.90
893.pnml,70.36,13.10,6.76,,,,,383.46
894.pnml,70.39,13.11,6.76,,,,,385.60
895.pnml,70.37,13.12,6.77,,,,,402.34
896.pnml,70.50,13.14,6.78,,,,,391.54
897.pnml,70.68,13.15,6.78,,,,,386.77
898.pnml,70.71,13.16,6.79,,,,,393.62
899.pnml,70.77,13.18,6.80,,,,,393.46
89.pnml,24.82,1.31,0.69,,,,,40.51
8.pnml,20.23,0.14,0.07,,,,,4.35
900.pnml,70.82,13.19,6.81,,,,,385.29
901.pnml,70.78,13.20,6.81,,,,,383.06
902.pnml,70.86,13.22,6.82,,,,,385.38
903.pnml,70.95,13.23,6.83,,,,,400.83
904.pnml,70.88,13.24,6.84,,,,,391.18
905.pnml,71.05,13.26,6.84,,,,,389.66
906.pnml,71.09,13.27,6.85,,,,,396.63
907.pnml,71.03,13.28,6.86,,,,,400.37
908.pnml,71.30,13.30,6.87,,,,,400.25
909.pnml,71.36,13.31,6.87,,,,,397.51
90.pnml,24.87,1.32,0.69,,,,,42.53
910.pnml,71.40,13.52,6.88,,,,,389.62
911.pnml,71.44,13.53,6.89,,,,,399.53
912.pnml,71.25,13.55,6.89,,,,,396.33
913.pnml,71.54,13.56,6.90,,,,,403.85
914.pnml,71.58,13.57,6.91,,,,,384.89
915.pnml,71.62,13.59,6.92,,,,,401.41
916.pnml,71.68,13.60,6.92,,,,,398.80
917.pnml,71.72,13.61,6.93,,,,,392.09
918.pnml,71.71,13.63,6.94,,,,,393.35
919.pnml,71.80,13.64,6.95,,,,,390.88
91.pnml,24.92,1.33,0.70,,,,,42.27
920.pnml,71.90,13.65,6.95,,,,,394.47
921.pnml,72.03,13.67,6.96,,,,,399.12
922.pnml,72.08,13.68,6.97,,,,,400.12
923.pnml,72.25,13.69,6.98,,,,,382.21
924.pnml,72.09,13.71,6.98,,,,,395.20
925.pnml,72.21,13.72,6.99,,,,,388.82
926.pnml,72.26,13.73,7.00,,,,,407.40
927.pnml,72.30,13.75,7.00,,,,,388.00
928.pnml,72.35,13.76,7.01,,,,,401.28
929.pnml,72.40,13.77,7.02,,,,,400.70
92.pnml,24.97,1.35,0.71,,,,,41.36
930.pnml,72.35,13.79,7.03,,,,,417.08
931.pnml,72.43,13.80,7.03,,,,,374.43
932.pnml,72.64,13.82,7.04,,,,,396.03
933.pnml,72.70,13.83,7.05,,,,,399.16
934.pnml,72.75,13.85,7.06,,,,,402.71
935.pnml,72.79,13.86,7.06,,,,,392.46
936.pnml,72.96,13.87,7.07,,,,,395.23
937.pnml,72.89,13.89,7.08,,,,,399.75
938.pnml,72.79,13.90,7.09,,,,,421.73
939.pnml,72.74,13.91,7.09,,,,,408.24
93.pnml,25.01,1.36,0.72,,,,,41.01
940.pnml,72.92,13.93,7.10,,,,,399.45
941.pnml,73.07,13.94,7.11,,,,,399.12
942.pnml,73.12,13.95,7.11,,,,,404.01
943.pnml,73.17,13.97,7.12,,,,,396.13
944.pnml,73.34,13.98,7.13,,,,,418.18
945.pnml,73.38,13.99,7.14,,,,,396.51
946.pnml,73.43,14.02,7.15,,,,,417.38
947.pnml,73.48,14.03,7.16,,,,,390.85
948.pnml,73.47,14.06,7.18,,,,,415.88
949.pnml,73.69,14.07,7.19,,,,,400.04
94.pnml,25.02,1.37,0.72,,,,,43.55
950.pnml,73.86,14.09,7.19,,,,,397.19
951.pnml,73.78,14.10,7.20,,,,,392.30
952.pnml,73.80,14.11,7.21,,,,,407.18
953.pnml,73.86,14.13,7.21,,,,,408.91
954.pnml,73.90,14.14,7.22,,,,,405.90
955.pnml,73.84,14.15,7.23,,,,,413.48
956.pnml,74.11,14.17,7.24,,,,,410.95
957.pnml,74.15,14.18,7.24,,,,,412.55
958.pnml,74.18,14.19,7.25,,,,,408.93
959.pnml,74.23,14.20,7.26,,,,,427.90
95.pnml,25.11,1.39,0.73,,,,,42.56
960.pnml,74.08,14.22,7.27,,,,,410.90
961.pnml,74.32,14.23,7.27,,,,,418.32
962.pnml,74.36,14.24,7.28,,,,,410.86
963.pnml,74.53,14.26,7.29,,,,,414.19
964.pnml,74.43,14.27,7.30,,,,,429.59
965.pnml,74.47,14.28,7.30,,,,,425.29
966.pnml,74.51,14.30,7.31,,,,,409.29
967.pnml,74.68,14.31,7.32,,,,,432.72
968.pnml,74.58,14.32,7.32,,,,,506.05
969.pnml,74.64,14.34,7.33,,,,,458.01
96.pnml,25.27,1.40,0.74,,,,,47.91
970.pnml,74.81,14.35,7.34,,,,,462.85
971.pnml,74.70,14.36,7.35,,,,,468.82
972.pnml,74.89,14.38,7.35,,,,,417.74
973.pnml,74.95,14.39,7.36,,,,,443.47
974.pnml,74.90,14.40,7.37,,,,,438.02
975.pnml,74.97,14.42,7.38,,,,,421.76
976.pnml,75.08,14.43,7.38,,,,,431.71
977.pnml,75.11,14.44,7.39,,,,,434.79
978.pnml,75.11,14.46,7.40,,,,,432.52
979.pnml,75.21,14.47,7.41,,,,,439.30
97.pnml,25.14,1.43,0.75,,,,,40.31
980.pnml,75.38,14.48,7.41,,,,,399.10
981.pnml,75.32,14.50,7.42,,,,,407.61
982.pnml,75.50,14.52,7.43,,,,,412.90
983.pnml,75.53,14.53,7.44,,,,,435.28
984.pnml,75.58,14.54,7.45,,,,,427.90
985.pnml,75.59,14.56,7.45,,,,,428.29
986.pnml,75.67,14.57,7.46,,,,,400.18
987.pnml,75.59,14.58,7.47,,,,,410.15
988.pnml,75.77,14.60,7.48,,,,,413.42
989.pnml,75.80,14.61,7.48,,,,,423.96
98.pnml,25.38,1.44,0.75,,,,,42.68
990.pnml,75.85,14.62,7.49,,,,,411.42
991.pnml,75.90,14.64,7.50,,,,,418.87
992.pnml,79.73,14.65,7.51,,,,,439.25
993.pnml,80.14,14.66,7.51,,,,,441.50
994.pnml,80.17,14.68,7.52,,,,,429.65
995.pnml,80.16,14.69,7.53,,,,,437.03
996.pnml,80.20,14.70,7.53,,,,,450.44
997.pnml,80.26,14.72,7.54,,,,,417.50
998.pnml,80.42,14.73,7.55,,,,,410.24
999.pnml,80.46,14.74,7.56,,,,,431.11
99.pnml,25.41,1.45,0.76,,,,,45.60
9.pnml,20.36,0.15,0.08,,,,,7.90
1000.pnml,80.66,14.74,7.56,,,,,431.11
1001.pnml,80.66,14.74,7.56,,,,,431.11

