file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,avg_mem_petri_parser_mb,peak_mem_petri_parser_mb,avg_mem_dec_translator_mb,peak_mem_dec_translator_mb,time_ms
207.pnml,31.47,3.07,1.58,,,,,110.21
208.pnml,31.45,3.09,1.59,,,,,107.78
209.pnml,31.64,3.10,1.59,,,,,97.01
20.pnml,20.98,0.31,0.17,,,,,9.20
210.pnml,31.69,3.11,1.60,,,,,89.10
211.pnml,31.73,3.12,1.61,,,,,86.72
212.pnml,31.78,3.14,1.61,,,,,91.80
213.pnml,31.82,3.15,1.62,,,,,86.34
214.pnml,31.88,3.16,1.63,,,,,87.97
215.pnml,31.92,3.18,1.64,,,,,90.60
216.pnml,31.96,3.19,1.64,,,,,88.51
217.pnml,32.14,3.20,1.65,,,,,90.91
218.pnml,31.96,3.22,1.66,,,,,98.31
219.pnml,32.22,3.23,1.67,,,,,93.37
21.pnml,20.98,0.33,0.17,,,,,12.23
220.pnml,32.27,3.24,1.67,,,,,94.92
221.pnml,32.31,3.26,1.68,,,,,90.24
222.pnml,32.36,3.27,1.69,,,,,94.71
223.pnml,32.41,3.29,1.70,,,,,94.61
224.pnml,32.46,3.30,1.70,,,,,96.62
225.pnml,32.50,3.31,1.71,,,,,96.19
226.pnml,32.55,3.33,1.72,,,,,106.43
227.pnml,32.60,3.39,1.73,,,,,94.11
228.pnml,32.45,3.41,1.74,,,,,98.41
229.pnml,32.84,3.42,1.74,,,,,100.31
22.pnml,20.98,0.34,0.18,,,,,14.36
230.pnml,32.77,3.44,1.75,,,,,99.97
231.pnml,32.81,3.45,1.76,,,,,95.73
232.pnml,32.96,3.46,1.77,,,,,99.53
233.pnml,33.13,3.48,1.77,,,,,97.87
234.pnml,32.91,3.49,1.78,,,,,100.10
235.pnml,33.10,3.50,1.79,,,,,99.86
236.pnml,33.14,3.52,1.80,,,,,100.94
237.pnml,33.18,3.53,1.80,,,,,103.88
238.pnml,33.23,3.54,1.81,,,,,96.68
239.pnml,33.28,3.56,1.82,,,,,102.51
23.pnml,21.11,0.35,0.19,,,,,15.78
240.pnml,33.32,3.57,1.83,,,,,96.33
241.pnml,33.38,3.58,1.83,,,,,98.12
242.pnml,33.56,3.60,1.84,,,,,100.76
243.pnml,33.56,3.61,1.85,,,,,104.67
244.pnml,33.66,3.62,1.86,,,,,96.80
245.pnml,33.70,3.64,1.86,,,,,99.71
246.pnml,33.74,3.65,1.87,,,,,104.19
247.pnml,34.80,3.66,1.88,,,,,107.00
248.pnml,34.84,3.68,1.88,,,,,106.54
249.pnml,34.87,3.69,1.89,,,,,103.49
24.pnml,21.23,0.37,0.20,,,,,12.83
250.pnml,34.91,3.70,1.90,,,,,110.78
251.pnml,35.06,3.72,1.91,,,,,103.48
252.pnml,35.09,3.73,1.91,,,,,110.47
253.pnml,35.13,3.74,1.92,,,,,114.99
254.pnml,35.16,3.76,1.93,,,,,108.25
255.pnml,35.19,3.77,1.94,,,,,108.89
256.pnml,35.23,3.79,1.95,,,,,109.32
257.pnml,35.38,3.80,1.96,,,,,104.96
258.pnml,35.42,3.82,1.96,,,,,108.76
259.pnml,35.45,3.83,1.97,,,,,110.06
25.pnml,21.36,0.38,0.20,,,,,15.56
260.pnml,35.39,3.84,1.98,,,,,104.67
261.pnml,35.65,3.86,1.99,,,,,107.67
262.pnml,35.69,3.87,1.99,,,,,107.54
263.pnml,35.72,3.89,2.00,,,,,111.90
264.pnml,35.76,3.90,2.01,,,,,114.16
265.pnml,35.77,3.91,2.02,,,,,109.11
266.pnml,35.93,3.93,2.02,,,,,117.66
267.pnml,35.82,3.94,2.03,,,,,111.70
268.pnml,35.98,3.95,2.04,,,,,112.46
269.pnml,36.02,3.97,2.05,,,,,111.44
26.pnml,21.09,0.40,0.21,,,,,15.96
270.pnml,36.05,3.98,2.05,,,,,109.98
271.pnml,36.07,3.99,2.06,,,,,115.60
272.pnml,36.04,4.01,2.07,,,,,121.23
273.pnml,36.27,4.02,2.07,,,,,114.12
274.pnml,36.30,4.03,2.08,,,,,114.84
275.pnml,36.34,4.04,2.09,,,,,116.23
276.pnml,36.37,4.06,2.10,,,,,123.27
277.pnml,36.52,4.07,2.10,,,,,129.58
278.pnml,36.56,4.08,2.11,,,,,117.98
279.pnml,36.59,4.10,2.12,,,,,115.42
27.pnml,21.24,0.41,0.22,,,,,16.11
280.pnml,36.62,4.11,2.13,,,,,119.75
281.pnml,36.54,4.12,2.13,,,,,111.99
282.pnml,36.81,4.14,2.14,,,,,125.43
283.pnml,36.84,4.15,2.15,,,,,115.28
284.pnml,36.88,4.17,2.16,,,,,115.11
285.pnml,36.91,4.18,2.16,,,,,118.86
286.pnml,36.95,4.19,2.17,,,,,121.09
287.pnml,36.92,4.21,2.18,,,,,121.84
288.pnml,37.15,4.22,2.19,,,,,123.25
289.pnml,37.16,4.24,2.19,,,,,120.95
28.pnml,21.36,0.43,0.23,,,,,13.55
290.pnml,37.32,4.25,2.21,,,,,124.92
291.pnml,37.35,4.27,2.21,,,,,125.59
292.pnml,37.38,4.28,2.22,,,,,124.20
293.pnml,37.41,4.29,2.23,,,,,122.94
294.pnml,37.45,4.31,2.23,,,,,117.32
295.pnml,37.48,4.32,2.24,,,,,122.72
296.pnml,37.51,4.33,2.25,,,,,125.33
297.pnml,37.59,4.35,2.26,,,,,120.61
