file_name,mem_usage_mb,time_ms
T1a_augmented_test_219.pnml,23.93,13.27
T1a_augmented_test_21.pnml,19.69,1.24
T1a_augmented_test_220.pnml,23.81,12.87
T1a_augmented_test_221.pnml,23.81,13.03
T1a_augmented_test_222.pnml,23.72,12.91
T1a_augmented_test_223.pnml,24.06,12.43
T1a_augmented_test_224.pnml,24.05,13.09
T1a_augmented_test_225.pnml,23.93,13.38
T1a_augmented_test_226.pnml,24.06,12.53
T1a_augmented_test_227.pnml,23.94,11.75
T1a_augmented_test_228.pnml,24.06,14.58
T1a_augmented_test_229.pnml,24.18,13.18
T1a_augmented_test_22.pnml,19.68,1.60
T1a_augmented_test_230.pnml,24.18,13.31
T1a_augmented_test_231.pnml,24.19,13.00
T1a_augmented_test_232.pnml,24.18,12.82
T1a_augmented_test_233.pnml,24.19,13.03
T1a_augmented_test_234.pnml,24.19,13.97
T1a_augmented_test_235.pnml,24.31,14.01
T1a_augmented_test_236.pnml,24.06,13.02
T1a_augmented_test_237.pnml,24.31,13.12
T1a_augmented_test_238.pnml,24.31,12.77
T1a_augmented_test_239.pnml,24.18,14.91
T1a_augmented_test_23.pnml,19.69,1.76
T1a_augmented_test_240.pnml,24.31,14.39
T1a_augmented_test_241.pnml,24.43,14.98
T1a_augmented_test_242.pnml,24.43,13.24
T1a_augmented_test_243.pnml,24.31,14.01
T1a_augmented_test_244.pnml,24.31,14.41
T1a_augmented_test_245.pnml,24.31,13.06
T1a_augmented_test_246.pnml,24.56,15.29
T1a_augmented_test_247.pnml,24.56,15.25
T1a_augmented_test_248.pnml,24.56,13.55
T1a_augmented_test_249.pnml,24.43,13.03
T1a_augmented_test_24.pnml,19.56,1.39
T1a_augmented_test_250.pnml,24.44,14.30
T1a_augmented_test_251.pnml,24.56,14.72
T1a_augmented_test_252.pnml,24.75,14.07
T1a_augmented_test_253.pnml,24.68,14.92
T1a_augmented_test_254.pnml,24.69,14.53
T1a_augmented_test_255.pnml,24.68,16.34
T1a_augmented_test_256.pnml,24.56,14.07
T1a_augmented_test_257.pnml,24.81,14.76
T1a_augmented_test_258.pnml,24.80,14.87
T1a_augmented_test_259.pnml,24.74,15.03
T1a_augmented_test_25.pnml,19.69,1.36
T1a_augmented_test_260.pnml,24.68,15.15
T1a_augmented_test_261.pnml,24.69,14.73
T1a_augmented_test_262.pnml,24.68,14.43
T1a_augmented_test_263.pnml,24.81,14.10
T1a_augmented_test_264.pnml,24.94,15.79
T1a_augmented_test_265.pnml,24.94,14.64
T1a_augmented_test_266.pnml,24.94,16.31
T1a_augmented_test_267.pnml,24.93,14.77
T1a_augmented_test_268.pnml,24.74,14.38
T1a_augmented_test_269.pnml,24.94,15.39
T1a_augmented_test_26.pnml,19.81,1.55
T1a_augmented_test_270.pnml,25.06,15.34
T1a_augmented_test_271.pnml,25.06,15.47
T1a_augmented_test_272.pnml,25.06,14.69
T1a_augmented_test_273.pnml,25.06,16.62
T1a_augmented_test_274.pnml,24.93,15.88
T1a_augmented_test_275.pnml,24.93,15.60
T1a_augmented_test_276.pnml,25.19,15.17
T1a_augmented_test_277.pnml,25.18,16.08
T1a_augmented_test_278.pnml,25.12,15.03
T1a_augmented_test_279.pnml,25.06,16.20
T1a_augmented_test_27.pnml,19.68,1.50
T1a_augmented_test_280.pnml,25.18,15.69
T1a_augmented_test_281.pnml,25.30,16.37
T1a_augmented_test_282.pnml,25.31,14.73
T1a_augmented_test_283.pnml,25.31,16.31
T1a_augmented_test_284.pnml,25.31,15.71
T1a_augmented_test_285.pnml,25.18,15.72
T1a_augmented_test_286.pnml,25.30,16.85
T1a_augmented_test_287.pnml,25.44,14.70
T1a_augmented_test_288.pnml,25.31,17.05
T1a_augmented_test_289.pnml,25.23,15.40
T1a_augmented_test_28.pnml,19.68,1.52
T1a_augmented_test_290.pnml,25.43,16.59
T1a_augmented_test_291.pnml,25.44,15.68
T1a_augmented_test_292.pnml,25.56,16.25
T1a_augmented_test_293.pnml,25.56,19.12
T1a_augmented_test_294.pnml,25.44,17.62
T1a_augmented_test_295.pnml,25.44,15.84
T1a_augmented_test_296.pnml,25.43,17.04
T1a_augmented_test_297.pnml,25.56,17.37
T1a_augmented_test_298.pnml,25.56,15.99
T1a_augmented_test_299.pnml,25.62,16.94
T1a_augmented_test_29.pnml,19.81,1.59
T1a_augmented_test_2.pnml,19.31,0.62
T1a_augmented_test_300.pnml,25.69,17.64
T1a_augmented_test_301.pnml,25.69,17.86
T1a_augmented_test_302.pnml,25.69,16.15
T1a_augmented_test_303.pnml,25.68,16.66
T1a_augmented_test_304.pnml,25.80,17.51
T1a_augmented_test_305.pnml,25.69,16.30
T1a_augmented_test_306.pnml,25.81,16.61
T1a_augmented_test_307.pnml,25.81,18.02
T1a_augmented_test_308.pnml,25.81,17.41
T1a_augmented_test_309.pnml,25.68,16.87
T1a_augmented_test_30.pnml,19.68,1.62
T1a_augmented_test_310.pnml,25.81,17.59
T1a_augmented_test_311.pnml,25.93,17.21
T1a_augmented_test_312.pnml,25.94,16.51
T1a_augmented_test_313.pnml,25.94,18.01
T1a_augmented_test_314.pnml,25.94,18.56
T1a_augmented_test_315.pnml,25.93,16.95
T1a_augmented_test_316.pnml,26.06,16.61
T1a_augmented_test_317.pnml,26.06,16.14
T1a_augmented_test_318.pnml,26.06,18.18
T1a_augmented_test_319.pnml,26.06,17.47
T1a_augmented_test_31.pnml,19.93,1.65
T1a_augmented_test_320.pnml,26.06,18.20
T1a_augmented_test_321.pnml,25.81,17.13
T1a_augmented_test_322.pnml,26.18,16.78
T1a_augmented_test_323.pnml,26.06,17.86
T1a_augmented_test_324.pnml,26.18,18.05
T1a_augmented_test_325.pnml,26.05,18.27
T1a_augmented_test_326.pnml,26.06,18.63
T1a_augmented_test_327.pnml,26.19,18.68
T1a_augmented_test_328.pnml,26.30,19.14
T1a_augmented_test_329.pnml,26.18,16.47
T1a_augmented_test_32.pnml,19.93,1.67
T1a_augmented_test_330.pnml,26.31,19.22
T1a_augmented_test_331.pnml,26.31,19.10
T1a_augmented_test_332.pnml,26.12,18.89
T1a_augmented_test_333.pnml,26.44,17.28
T1a_augmented_test_334.pnml,26.30,19.57
T1a_augmented_test_335.pnml,26.44,18.81
T1a_augmented_test_336.pnml,26.44,18.85
T1a_augmented_test_337.pnml,26.44,18.94
T1a_augmented_test_338.pnml,26.19,18.22
T1a_augmented_test_339.pnml,26.38,19.50
T1a_augmented_test_33.pnml,19.94,1.76
T1a_augmented_test_340.pnml,26.44,18.31
T1a_augmented_test_341.pnml,26.44,17.91
T1a_augmented_test_342.pnml,26.56,18.49
T1a_augmented_test_343.pnml,26.62,18.23
T1a_augmented_test_344.pnml,26.55,19.23
T1a_augmented_test_345.pnml,26.69,18.69
