file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
6155.pnml,86.16,54.87,28.22,943.04
6156.pnml,86.16,54.88,28.23,934.49
6157.pnml,86.17,54.89,28.23,918.40
6158.pnml,86.17,54.89,28.23,967.69
6159.pnml,86.17,54.89,28.23,1042.14
615.pnml,23.48,1.31,0.73,29.02
6160.pnml,86.05,54.90,28.24,958.35
6161.pnml,86.18,54.91,28.25,999.13
6162.pnml,86.18,54.92,28.25,994.36
6163.pnml,86.18,54.93,28.26,946.16
6164.pnml,86.18,54.94,28.26,942.05
6165.pnml,86.19,54.95,28.27,968.85
6166.pnml,86.20,54.96,28.27,961.71
6167.pnml,86.32,54.97,28.28,988.82
6168.pnml,86.33,54.99,28.28,939.93
6169.pnml,86.33,55.00,28.29,961.29
616.pnml,23.48,1.31,0.73,36.06
6170.pnml,86.29,55.01,28.30,921.34
6171.pnml,86.46,55.14,28.36,952.58
6172.pnml,86.46,55.15,28.37,945.44
6173.pnml,86.44,55.16,28.37,946.14
6174.pnml,86.35,55.17,28.38,948.47
6175.pnml,86.47,55.18,28.38,1037.41
6176.pnml,86.48,55.19,28.39,929.06
6177.pnml,86.48,55.20,28.39,914.17
6178.pnml,86.48,55.21,28.40,945.32
6179.pnml,86.49,55.22,28.40,952.38
617.pnml,23.48,1.31,0.73,31.61
6180.pnml,86.49,55.23,28.41,966.05
6181.pnml,86.49,55.24,28.42,969.01
6182.pnml,86.59,55.25,28.42,926.47
6183.pnml,86.62,55.26,28.43,926.13
6184.pnml,86.62,55.27,28.43,958.35
6185.pnml,86.52,55.28,28.44,958.86
6186.pnml,86.63,55.29,28.44,967.56
6187.pnml,86.64,55.30,28.45,938.17
6188.pnml,86.77,55.44,28.51,944.58
6189.pnml,86.77,55.44,28.52,936.90
618.pnml,23.48,1.31,0.73,38.01
6190.pnml,86.78,55.45,28.52,946.73
6191.pnml,86.83,55.46,28.53,946.82
6192.pnml,86.77,55.47,28.53,937.76
6193.pnml,86.78,55.48,28.54,984.52
6194.pnml,86.61,55.49,28.54,1009.72
6195.pnml,86.64,55.50,28.55,953.09
6196.pnml,86.91,55.54,28.57,939.90
6197.pnml,86.70,55.55,28.57,927.85
6198.pnml,86.80,55.55,28.57,1050.58
6199.pnml,86.93,55.56,28.58,992.09
619.pnml,23.48,1.32,0.73,31.11
61.pnml,19.96,0.12,0.06,3.75
6200.pnml,86.93,55.57,28.58,1002.46
6201.pnml,86.93,55.58,28.59,960.97
6202.pnml,86.72,55.59,28.60,979.36
6203.pnml,86.81,55.60,28.60,988.25
6204.pnml,86.94,55.61,28.61,941.08
6205.pnml,86.97,55.75,28.68,979.42
6206.pnml,87.07,55.76,28.68,1067.61
6207.pnml,87.03,55.76,28.68,925.95
6208.pnml,87.08,55.77,28.69,938.78
6209.pnml,87.08,55.78,28.69,935.93
620.pnml,23.48,1.32,0.73,34.67
6210.pnml,86.98,55.78,28.69,963.27
6211.pnml,87.09,55.80,28.70,985.90
6212.pnml,87.22,55.81,28.70,1003.98
6213.pnml,87.21,55.82,28.71,975.60
6214.pnml,86.98,55.83,28.72,954.26
6215.pnml,87.17,55.84,28.72,954.41
6216.pnml,87.11,55.85,28.73,988.48
6217.pnml,87.11,55.86,28.73,1004.36
6218.pnml,87.24,55.87,28.74,984.70
6219.pnml,87.24,55.91,28.76,1004.56
621.pnml,23.48,1.32,0.74,32.73
6220.pnml,87.08,55.92,28.76,1003.33
6221.pnml,87.25,55.93,28.77,983.38
6222.pnml,87.08,55.94,28.77,970.24
6223.pnml,87.38,55.95,28.78,1025.22
