file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
175,20.63,0.20,0.12,8.76
176,20.57,0.20,0.12,8.65
177,20.52,0.20,0.12,8.62
178,20.40,0.21,0.12,8.26
179,20.38,0.21,0.12,9.41
180,20.46,0.21,0.12,8.51
181,20.35,0.21,0.12,8.95
182,20.66,0.21,0.12,8.65
183,20.51,0.21,0.12,8.86
184,20.46,0.21,0.12,8.88
185,20.73,0.21,0.12,9.15
186,20.20,0.21,0.13,8.92
187,20.50,0.21,0.13,8.69
188,20.42,0.21,0.13,8.96
189,20.45,0.21,0.13,9.12
190,20.55,0.21,0.13,8.94
191,20.49,0.22,0.13,9.33
192,20.38,0.22,0.13,10.30
193,20.56,0.22,0.13,9.66
194,20.67,0.22,0.13,9.53
195,20.27,0.22,0.13,9.32
196,20.34,0.22,0.13,9.24
197,20.77,0.22,0.13,9.03
198,20.05,0.22,0.13,9.37
199,20.68,0.22,0.13,10.04
200,20.50,0.22,0.13,9.59
201,20.79,0.22,0.13,10.16
202,20.48,0.23,0.14,9.90
203,20.80,0.23,0.14,9.53
204,20.64,0.23,0.14,9.59
205,20.59,0.23,0.14,9.65
206,20.68,0.23,0.14,9.73
207,20.63,0.23,0.14,9.81
208,20.80,0.23,0.14,9.92
209,20.60,0.23,0.14,10.74
210,20.70,0.23,0.14,9.92
211,20.88,0.23,0.14,10.09
212,20.57,0.23,0.14,10.00
213,20.66,0.23,0.14,10.33
214,20.94,0.23,0.14,10.52
215,20.75,0.24,0.14,10.64
216,20.80,0.24,0.14,10.55
217,20.49,0.24,0.14,11.25
218,20.76,0.24,0.15,10.26
219,20.84,0.24,0.15,10.38
220,20.51,0.24,0.15,10.78
221,20.82,0.24,0.15,10.65
222,20.68,0.24,0.15,11.51
223,20.85,0.24,0.15,10.64
224,20.68,0.24,0.15,10.90
225,20.80,0.24,0.15,11.07
226,20.63,0.24,0.15,10.47
227,20.96,0.25,0.15,10.84
228,20.91,0.25,0.15,10.73
229,20.86,0.25,0.15,10.90
230,20.80,0.25,0.15,10.86
231,20.87,0.25,0.15,11.46
232,20.96,0.25,0.15,10.89
233,20.75,0.25,0.15,10.82
234,21.00,0.25,0.16,10.90
235,20.86,0.25,0.16,11.44
236,20.80,0.25,0.16,11.18
237,20.89,0.25,0.16,10.92
238,20.83,0.26,0.16,12.25
239,21.04,0.26,0.16,11.53
240,20.84,0.26,0.16,11.96
241,21.03,0.26,0.16,11.58
242,20.87,0.26,0.16,11.56
243,21.08,0.26,0.16,11.52
244,21.09,0.26,0.16,11.56
245,21.07,0.26,0.16,11.67
246,20.80,0.26,0.16,11.77
247,20.73,0.26,0.16,12.39
248,21.03,0.26,0.16,13.14
249,21.01,0.26,0.16,11.83
250,21.13,0.26,0.16,11.75
251,20.88,0.27,0.17,11.84
252,20.96,0.27,0.17,11.92
253,20.91,0.27,0.17,12.13
254,21.14,0.27,0.17,12.81
255,20.93,0.27,0.17,12.83
256,21.09,0.27,0.17,12.14
257,20.56,0.27,0.17,12.22
258,21.08,0.27,0.17,12.19
259,20.88,0.27,0.17,12.39
260,20.67,0.27,0.17,13.41
261,21.00,0.27,0.17,12.68
262,20.82,0.27,0.17,12.36
263,21.01,0.28,0.17,12.34
264,20.89,0.28,0.17,12.76
265,20.99,0.28,0.17,12.61
266,20.63,0.28,0.18,12.38
267,21.02,0.28,0.18,12.84
268,20.97,0.28,0.18,14.34
269,20.96,0.28,0.18,12.47
270,21.24,0.28,0.18,12.68
271,20.98,0.28,0.18,12.83
272,21.12,0.28,0.18,13.42
273,21.19,0.28,0.18,13.03
274,21.24,0.28,0.18,12.88
