file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
228.pnml,20.20,0.25,0.15,9.57
229.pnml,20.21,0.25,0.15,9.77
22.pnml,19.20,0.07,0.02,1.60
230.pnml,20.14,0.25,0.15,10.17
231.pnml,20.40,0.25,0.16,9.92
232.pnml,20.50,0.25,0.16,10.35
233.pnml,20.29,0.26,0.16,10.11
234.pnml,20.39,0.26,0.16,9.81
235.pnml,20.37,0.26,0.16,9.95
236.pnml,20.29,0.26,0.16,10.25
237.pnml,20.30,0.26,0.16,10.14
238.pnml,20.40,0.26,0.16,10.16
239.pnml,20.44,0.26,0.16,10.36
23.pnml,19.21,0.07,0.03,1.78
240.pnml,20.40,0.26,0.16,10.15
241.pnml,20.24,0.26,0.16,10.71
242.pnml,20.54,0.26,0.16,11.15
243.pnml,20.30,0.26,0.16,10.28
244.pnml,20.48,0.27,0.16,10.10
245.pnml,20.44,0.27,0.16,10.74
246.pnml,20.53,0.27,0.16,10.63
247.pnml,20.34,0.27,0.16,10.71
248.pnml,20.04,0.27,0.17,10.41
249.pnml,20.51,0.27,0.17,10.39
24.pnml,19.23,0.07,0.03,1.74
250.pnml,20.02,0.27,0.17,10.43
251.pnml,20.16,0.27,0.17,11.56
252.pnml,20.50,0.27,0.17,10.63
253.pnml,20.19,0.27,0.17,10.68
254.pnml,20.31,0.27,0.17,10.76
255.pnml,20.25,0.28,0.17,11.20
256.pnml,20.48,0.28,0.17,11.03
257.pnml,20.52,0.28,0.17,10.88
258.pnml,19.91,0.28,0.17,10.71
259.pnml,20.16,0.28,0.17,11.09
25.pnml,19.03,0.07,0.03,1.83
260.pnml,20.52,0.28,0.17,11.16
261.pnml,20.65,0.28,0.17,11.52
262.pnml,20.32,0.28,0.17,11.20
263.pnml,20.56,0.28,0.17,11.42
264.pnml,20.71,0.28,0.18,11.10
265.pnml,20.55,0.28,0.18,11.81
266.pnml,20.77,0.29,0.18,11.21
267.pnml,20.23,0.29,0.18,11.53
268.pnml,20.36,0.29,0.18,11.40
269.pnml,20.80,0.29,0.18,11.41
26.pnml,19.11,0.07,0.03,1.86
270.pnml,20.59,0.29,0.18,11.81
271.pnml,20.62,0.29,0.18,11.53
272.pnml,20.65,0.29,0.18,11.76
273.pnml,20.56,0.29,0.18,11.44
274.pnml,20.45,0.29,0.18,13.87
275.pnml,20.58,0.29,0.18,11.45
276.pnml,20.74,0.29,0.18,11.93
277.pnml,20.68,0.30,0.18,11.66
278.pnml,20.58,0.30,0.18,11.74
279.pnml,20.76,0.30,0.18,11.65
27.pnml,18.92,0.07,0.03,1.80
280.pnml,20.49,0.30,0.19,11.94
281.pnml,20.59,0.30,0.19,13.54
282.pnml,20.75,0.30,0.19,12.08
