file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
228.pnml,20.91,0.25,0.15,10.73
229.pnml,20.86,0.25,0.15,10.90
22.pnml,19.67,0.07,0.02,2.76
230.pnml,20.80,0.25,0.15,10.86
231.pnml,20.87,0.25,0.15,11.46
232.pnml,20.96,0.25,0.15,10.89
233.pnml,20.75,0.25,0.15,10.82
234.pnml,21.00,0.25,0.16,10.90
235.pnml,20.86,0.25,0.16,11.44
236.pnml,20.80,0.25,0.16,11.18
237.pnml,20.89,0.25,0.16,10.92
238.pnml,20.83,0.26,0.16,12.25
239.pnml,21.04,0.26,0.16,11.53
23.pnml,19.89,0.07,0.02,2.18
240.pnml,20.84,0.26,0.16,11.96
241.pnml,21.03,0.26,0.16,11.58
242.pnml,20.87,0.26,0.16,11.56
243.pnml,21.08,0.26,0.16,11.52
244.pnml,21.09,0.26,0.16,11.56
245.pnml,21.07,0.26,0.16,11.67
246.pnml,20.80,0.26,0.16,11.77
247.pnml,20.73,0.26,0.16,12.39
248.pnml,21.03,0.26,0.16,13.14
249.pnml,21.01,0.26,0.16,11.83
24.pnml,19.65,0.07,0.03,2.16
250.pnml,21.13,0.26,0.16,11.75
251.pnml,20.88,0.27,0.17,11.84
252.pnml,20.96,0.27,0.17,11.92
253.pnml,20.91,0.27,0.17,12.13
254.pnml,21.14,0.27,0.17,12.81
255.pnml,20.93,0.27,0.17,12.83
256.pnml,21.09,0.27,0.17,12.14
257.pnml,20.56,0.27,0.17,12.22
258.pnml,21.08,0.27,0.17,12.19
259.pnml,20.88,0.27,0.17,12.39
25.pnml,19.27,0.07,0.03,2.12
260.pnml,20.67,0.27,0.17,13.41
261.pnml,21.00,0.27,0.17,12.68
262.pnml,20.82,0.27,0.17,12.36
263.pnml,21.01,0.28,0.17,12.34
264.pnml,20.89,0.28,0.17,12.76
265.pnml,20.99,0.28,0.17,12.61
266.pnml,20.63,0.28,0.18,12.38
267.pnml,21.02,0.28,0.18,12.84
268.pnml,20.97,0.28,0.18,14.34
269.pnml,20.96,0.28,0.18,12.47
26.pnml,19.80,0.07,0.03,2.31
270.pnml,21.24,0.28,0.18,12.68
271.pnml,20.98,0.28,0.18,12.83
272.pnml,21.12,0.28,0.18,13.42
273.pnml,21.19,0.28,0.18,13.03
274.pnml,21.24,0.28,0.18,12.88
275.pnml,21.06,0.29,0.18,13.10
276.pnml,20.99,0.29,0.18,12.90
277.pnml,20.89,0.29,0.18,13.14
278.pnml,21.13,0.29,0.18,13.57
279.pnml,21.05,0.29,0.18,13.04
27.pnml,19.68,0.07,0.03,2.59
280.pnml,20.87,0.29,0.18,13.57
281.pnml,21.09,0.29,0.18,13.69
282.pnml,21.20,0.29,0.18,13.37
283.pnml,21.16,0.29,0.19,14.63
284.pnml,20.97,0.29,0.19,13.99
285.pnml,21.32,0.29,0.19,13.57
286.pnml,21.26,0.29,0.19,13.19
287.pnml,21.19,0.30,0.19,13.73
288.pnml,21.08,0.30,0.19,14.76
289.pnml,21.34,0.30,0.19,13.76
28.pnml,19.67,0.07,0.03,2.51
290.pnml,21.09,0.30,0.19,13.76
291.pnml,21.25,0.30,0.19,14.91
292.pnml,21.36,0.30,0.19,13.59
293.pnml,21.27,0.30,0.19,14.25
294.pnml,21.21,0.30,0.19,13.91
295.pnml,21.50,0.30,0.19,14.22
296.pnml,21.35,0.30,0.19,14.31
297.pnml,21.15,0.30,0.19,14.73
298.pnml,21.38,0.30,0.19,14.58
299.pnml,21.30,0.31,0.20,13.98
29.pnml,19.84,0.07,0.03,2.43
2.pnml,19.66,0.05,0.01,1.34
300.pnml,21.27,0.31,0.20,13.82
301.pnml,21.40,0.31,0.20,14.30
302.pnml,20.94,0.31,0.20,14.39
303.pnml,21.38,0.31,0.20,14.03
304.pnml,20.98,0.31,0.20,14.57
305.pnml,21.32,0.31,0.20,14.80
306.pnml,21.39,0.31,0.20,14.35
307.pnml,21.45,0.31,0.20,14.43
308.pnml,21.43,0.31,0.20,15.15
309.pnml,21.01,0.31,0.20,14.81
30.pnml,19.75,0.07,0.03,2.35
310.pnml,21.39,0.31,0.20,14.60
311.pnml,21.31,0.32,0.20,14.80
312.pnml,21.49,0.32,0.20,15.10
