Constraint,Fitness,Cluster,fitness_sublog_1,fitness_sublog_2,fitness_sublog_3,fitness_sublog_4,fitness_sublog_5,fitness_sublog_6,fitness_sublog_7,fitness_sublog_8,fitness_sublog_9,fitness_sublog_10
"'AlternatePrecedence({01_HOOFD_490_1, 13_CRD_010}, 01_HOOFD_490_1a)'",0.997,3,,,0.987,,1.0,1.0,,,1.0,
"'AlternatePrecedence({01_HOOFD_490_1, 14_VRIJ_010}, 01_HOOFD_490_1a)'",0.982,3,,,0.92,,1.0,1.0,,,1.0,
"'AlternatePrecedence(13_CRD_010, {01_HOOFD_490_1a, 01_HOOFD_490_5})'",0.623,4,,,0.773,,1.0,1.0,,,1.0,
"'AlternatePrecedence(01_HOOFD_490_1, {01_HOOFD_490_2, 09_AH_I_010})'",0.582,4,,,0.653,,,,,,,
"'AlternatePrecedence({01_HOOFD_490_1a, 11_AH_II_010}, 01_HOOFD_490_2)'",0.891,3,,,0.84,,,,,,,
"'AlternatePrecedence(11_AH_II_010, {01_HOOFD_490_2, 13_CRD_010})'",0.558,4,,,0.56,,,,,,,
"'AlternatePrecedence(01_HOOFD_490_2, {01_HOOFD_490_4, 01_HOOFD_495, 08_AWB45_005})'",0.527,4,,,0.32,,1.0,1.0,,,1.0,
"'AlternatePrecedence(01_HOOFD_491, {01_HOOFD_490_5, 01_HOOFD_494a})'",0.735,4,,,0.693,,1.0,1.0,,,1.0,
"'AlternatePrecedence({01_HOOFD_491, 01_HOOFD_515, 13_CRD_010}, 01_HOOFD_490_5)'",0.981,3,,,1.0,,1.0,1.0,,,1.0,
"'AlternatePrecedence({01_HOOFD_491, 01_HOOFD_515, 14_VRIJ_010}, 01_HOOFD_490_5)'",0.947,3,,,0.88,,1.0,1.0,,,1.0,
"'AlternatePrecedence(01_HOOFD_515, {01_HOOFD_490_5, 01_HOOFD_810, END})'",0.072,1,,,0.053,,0.0,0.0,,,0.0,
"'AlternatePrecedence(01_HOOFD_490_4, 01_HOOFD_490_5a)'",0.956,3,,,0.92,,1.0,1.0,,,1.0,
"'AlternatePrecedence(01_HOOFD_490_5, {01_HOOFD_490_5a, 01_HOOFD_510_2})'",0.621,4,,,0.64,,1.0,1.0,,,0.84,
"'AlternatePrecedence(01_HOOFD_490_2, {01_HOOFD_491, 08_AWB45_005})'",0.606,4,,,0.36,,,,,,,
"'AlternatePrecedence(01_HOOFD_490_4, 01_HOOFD_491)'",0.876,3,,,0.907,,,,,,,
"'AlternatePrecedence({01_HOOFD_490_2, 01_HOOFD_494a}, {01_HOOFD_495, 08_AWB45_005})'",0.685,4,,,0.387,,,,,,,
