num_transition,mem_usage_mb
10,19.38 
16,19.23 
26,19.43 
43,19.50 
71,19.64 
117,19.67 
193,20.07 
316,20.51 
517,24.80 
848,28.93
1389,35.05
2275,45.12 
3727,61.62 
6105,88.06
10000,130.29
