num_transition,mem_usage_mb
10,19.43 
16,19.38 
26,19.55 
43,19.62 
71,19.51
117,19.80 
193,20.07 
316,20.38 
517,25.00 
848,28.62
1389,35.05
2275,45.00 
3727,61.55 
6105,87.93
10000,130.29
