file_name,mem_usage_mb,peak_mem_mb,avg_mem_overall_mb,time_ms
228.pnml,31.98,3.27,1.67,125.35
229.pnml,31.63,3.29,1.68,118.90
22.pnml,20.66,0.33,0.18,12.19
230.pnml,32.04,3.30,1.69,121.61
231.pnml,31.62,3.31,1.69,123.59
232.pnml,32.52,3.32,1.70,118.53
233.pnml,32.45,3.34,1.71,126.22
234.pnml,32.56,3.35,1.72,125.62
235.pnml,32.92,3.36,1.72,123.64
236.pnml,32.54,3.38,1.73,123.25
237.pnml,32.55,3.39,1.74,127.13
238.pnml,32.90,3.40,1.74,131.24
239.pnml,32.35,3.41,1.75,154.32
23.pnml,21.12,0.34,0.18,13.38
240.pnml,32.96,3.43,1.76,138.59
241.pnml,32.97,3.44,1.76,128.70
242.pnml,33.21,3.45,1.77,128.82
243.pnml,32.94,3.47,1.78,126.08
244.pnml,33.24,3.48,1.79,134.78
245.pnml,32.91,3.49,1.79,127.39
246.pnml,32.93,3.50,1.80,129.59
247.pnml,34.35,3.52,1.81,134.98
248.pnml,34.21,3.53,1.81,139.76
249.pnml,34.55,3.54,1.82,140.85
24.pnml,21.09,0.36,0.19,19.31
250.pnml,34.76,3.55,1.83,137.43
251.pnml,34.57,3.57,1.83,133.87
252.pnml,34.66,3.58,1.84,131.61
253.pnml,34.91,3.59,1.85,139.07
254.pnml,34.41,3.61,1.86,141.54
255.pnml,33.95,3.62,1.87,144.36
256.pnml,34.94,3.63,1.87,137.50
257.pnml,34.55,3.65,1.88,142.85
258.pnml,34.88,3.66,1.89,137.23
259.pnml,34.82,3.68,1.90,138.54
25.pnml,20.91,0.37,0.20,17.74
260.pnml,35.23,3.69,1.90,139.94
261.pnml,35.07,3.70,1.91,138.30
262.pnml,34.97,3.71,1.92,135.98
263.pnml,35.07,3.73,1.93,141.82
264.pnml,35.39,3.74,1.93,147.77
265.pnml,35.47,3.76,1.94,144.15
266.pnml,35.39,3.77,1.95,147.99
267.pnml,35.48,3.78,1.95,146.31
268.pnml,35.38,3.79,1.96,150.71
269.pnml,35.61,3.81,1.97,140.37
26.pnml,21.14,0.38,0.21,15.49
270.pnml,35.83,3.82,1.97,149.32
271.pnml,35.95,3.83,1.98,150.36
272.pnml,35.89,3.84,1.99,149.75
273.pnml,35.48,3.86,2.00,154.16
274.pnml,36.18,3.87,2.00,141.11
275.pnml,36.18,3.88,2.01,146.41
276.pnml,35.77,3.90,2.02,138.45
277.pnml,36.19,3.91,2.02,138.84
278.pnml,35.77,3.92,2.03,140.21
279.pnml,35.80,3.93,2.04,138.58
27.pnml,21.30,0.40,0.21,18.94
280.pnml,36.14,3.95,2.05,136.36
281.pnml,36.03,3.96,2.05,152.95
282.pnml,36.24,3.97,2.06,151.13
283.pnml,36.18,3.98,2.07,148.96
284.pnml,36.59,4.00,2.07,146.09
285.pnml,36.80,4.01,2.08,155.19
286.pnml,36.43,4.02,2.09,145.44
287.pnml,36.57,4.04,2.10,145.42
288.pnml,36.46,4.05,2.10,155.47
289.pnml,36.72,4.06,2.11,147.65
28.pnml,21.05,0.42,0.22,18.90
290.pnml,37.18,4.08,2.12,145.48
291.pnml,37.00,4.09,2.13,153.77
292.pnml,36.88,4.11,2.14,154.15
293.pnml,36.90,4.12,2.14,152.46
294.pnml,37.25,4.13,2.15,160.39
295.pnml,37.33,4.14,2.16,153.86
296.pnml,37.32,4.16,2.16,148.15
297.pnml,37.26,4.17,2.17,158.69
298.pnml,37.45,4.19,2.18,152.10
299.pnml,36.86,4.20,2.19,170.69
29.pnml,21.30,0.43,0.23,21.27
2.pnml,19.58,0.08,0.03,2.60
300.pnml,37.34,4.21,2.19,158.57
301.pnml,37.72,4.22,2.20,162.46
302.pnml,37.79,4.24,2.21,158.11
303.pnml,37.87,4.25,2.21,148.51
304.pnml,37.88,4.26,2.22,158.22
305.pnml,37.78,4.28,2.23,154.14
306.pnml,38.07,4.29,2.24,152.84
307.pnml,37.55,4.30,2.24,160.49
308.pnml,37.87,4.31,2.25,156.36
309.pnml,37.95,4.33,2.26,159.14
30.pnml,21.54,0.44,0.23,21.97
310.pnml,38.05,4.34,2.26,150.71
311.pnml,38.25,4.35,2.27,153.77
312.pnml,37.91,4.36,2.28,153.71
313.pnml,37.92,4.38,2.29,163.98
314.pnml,38.20,4.39,2.29,157.62
315.pnml,38.25,4.40,2.30,162.56
316.pnml,38.45,4.42,2.31,156.43
317.pnml,38.51,4.43,2.31,162.55
318.pnml,38.58,4.44,2.32,151.09
319.pnml,38.00,4.45,2.33,158.08
31.pnml,21.08,0.45,0.24,20.98
320.pnml,38.73,4.47,2.33,166.54
321.pnml,38.71,4.48,2.34,163.11
322.pnml,38.74,4.49,2.35,161.42
323.pnml,38.48,4.50,2.36,162.70
324.pnml,38.68,4.52,2.37,158.48
325.pnml,39.04,4.53,2.37,175.17
326.pnml,38.89,4.55,2.38,169.50
327.pnml,38.74,4.56,2.39,170.77
328.pnml,38.63,4.58,2.40,166.81
329.pnml,38.80,4.59,2.40,178.52
32.pnml,21.19,0.47,0.25,24.45
330.pnml,39.23,4.60,2.41,166.33
331.pnml,38.89,4.62,2.42,170.63
332.pnml,38.94,4.63,2.43,168.48
333.pnml,39.47,4.64,2.43,185.40
334.pnml,39.41,4.65,2.44,173.40
335.pnml,39.11,4.67,2.45,171.98
336.pnml,39.57,4.68,2.46,168.46
337.pnml,39.68,4.70,2.46,166.94
338.pnml,39.68,4.71,2.47,170.59
339.pnml,39.72,4.72,2.48,174.91
33.pnml,21.75,0.48,0.26,19.74
340.pnml,39.60,4.73,2.48,177.32
341.pnml,39.40,4.75,2.49,171.92
342.pnml,40.06,4.76,2.50,178.45
343.pnml,39.84,4.77,2.50,180.84
344.pnml,38.45,4.78,2.51,187.67
345.pnml,38.98,4.80,2.52,179.89
346.pnml,39.06,4.81,2.53,184.64
347.pnml,38.99,4.82,2.53,177.18
348.pnml,38.95,4.83,2.54,185.16
349.pnml,38.72,4.85,2.55,174.90
34.pnml,21.66,0.49,0.26,24.60
350.pnml,38.88,4.86,2.55,183.35
351.pnml,39.28,4.87,2.56,182.78
352.pnml,39.62,4.89,2.57,182.68
353.pnml,39.58,4.90,2.57,186.01
354.pnml,39.40,4.91,2.58,182.75
355.pnml,39.12,4.92,2.59,179.60
356.pnml,39.43,4.94,2.60,182.08
357.pnml,39.68,4.95,2.60,184.85
358.pnml,39.64,4.96,2.61,191.07
359.pnml,39.80,4.97,2.62,187.38
35.pnml,21.64,0.51,0.27,23.10
360.pnml,40.06,4.99,2.62,182.77
361.pnml,39.64,5.00,2.63,185.48
362.pnml,39.77,5.01,2.64,193.69
363.pnml,39.77,5.03,2.65,192.36
364.pnml,39.97,5.04,2.65,184.00
365.pnml,40.00,5.06,2.66,200.15
366.pnml,40.12,5.07,2.67,182.88
367.pnml,40.43,5.09,2.68,187.80
368.pnml,40.16,5.10,2.69,195.32
369.pnml,40.26,5.11,2.69,204.55
36.pnml,21.89,0.52,0.28,25.90
370.pnml,40.57,5.12,2.70,184.28
371.pnml,40.23,5.14,2.71,196.44
372.pnml,40.19,5.15,2.72,190.49
373.pnml,40.58,5.16,2.72,205.17
374.pnml,40.41,5.18,2.73,189.29
375.pnml,40.84,5.19,2.74,190.86
376.pnml,40.97,5.20,2.74,187.44
377.pnml,40.79,5.21,2.75,194.47
378.pnml,41.03,5.23,2.76,195.07
379.pnml,40.55,5.24,2.77,193.11
37.pnml,21.99,0.53,0.29,24.66
380.pnml,41.21,5.26,2.77,189.85
381.pnml,40.73,5.27,2.78,188.25
382.pnml,41.16,5.28,2.79,213.41
383.pnml,41.27,5.29,2.80,191.37
384.pnml,41.04,5.31,2.80,202.42
385.pnml,40.67,5.32,2.81,211.03
386.pnml,41.29,5.33,2.82,203.04
387.pnml,41.48,5.35,2.82,201.32
388.pnml,41.00,5.36,2.83,210.44
389.pnml,41.53,5.42,2.84,203.00
38.pnml,21.78,0.55,0.29,22.70
390.pnml,41.60,5.43,2.84,199.63
391.pnml,41.76,5.45,2.85,195.98
392.pnml,41.69,5.46,2.86,199.16
393.pnml,41.59,5.47,2.87,210.56
394.pnml,41.95,5.48,2.87,200.40
395.pnml,41.65,5.50,2.88,205.92
396.pnml,42.03,5.51,2.89,211.81
397.pnml,41.73,5.52,2.89,215.07
398.pnml,42.11,5.53,2.90,213.77
399.pnml,41.79,5.55,2.91,203.70
39.pnml,21.62,0.56,0.30,28.20
3.pnml,19.75,0.09,0.04,2.93
400.pnml,41.50,5.56,2.91,210.22
401.pnml,42.15,5.57,2.92,209.75
402.pnml,41.53,5.59,2.93,215.19
403.pnml,42.01,5.60,2.94,211.78
404.pnml,42.01,5.61,2.94,211.71
405.pnml,42.43,5.62,2.95,204.89
406.pnml,42.38,5.64,2.96,210.06
407.pnml,41.92,5.65,2.96,213.66
408.pnml,42.68,5.66,2.97,209.59
409.pnml,42.56,5.67,2.98,216.23
40.pnml,22.13,0.57,0.31,28.24
410.pnml,42.73,5.69,2.99,208.84
411.pnml,42.61,5.70,3.00,210.22
412.pnml,42.71,5.72,3.00,207.75
413.pnml,42.62,5.73,3.01,214.14
414.pnml,43.02,5.75,3.02,212.72
415.pnml,43.00,5.76,3.03,227.08
416.pnml,42.39,5.77,3.04,218.64
417.pnml,43.15,5.79,3.04,221.12
418.pnml,43.14,5.80,3.05,209.38
419.pnml,43.27,5.81,3.06,217.09
41.pnml,21.96,0.59,0.31,24.11
